vladstud716373618/s6e8-stress-level-is-useless-a-statistical-test,S6E8: stress_level is useless. A statistical test,Vlad Studennykov,2026-08-11 12:56:50.193000,2
rustambhadouriya/student-health-rank-average-0-97092,Student health rank average 0.97092,ItzRustam,2026-08-11 12:49:32.587000,1
mayankgariyamldev/addicition-compitations,addicition compitations,Mayank Gariya ML,2026-08-11 11:52:01.007000,0
rv1922/smartphone-eda-analysis,SmartPhone||EDA Analysis,Vishwa,2026-08-11 11:45:00.983000,0
daniilkrasnovvv/s6e8-top-5-memes,S6E8: TOP 5% + Memes,Krasnov Daniil,2026-08-11 10:10:21.817000,13
priyamsaha17/predicting-smartphone-addiction-v1,Predicting Smartphone Addiction - V1,Priyam Saha,2026-08-11 10:04:17.657000,6
rv1922/smartphone-addiction,Smartphone Addiction 📊,Vishwa,2026-08-11 08:57:55.877000,0
lavanyabacche/predicting-smartphone-addiction-playground-s6e8,Predicting Smartphone Addiction — Playground S6E8,Lavanya Bacche,2026-08-10 19:52:44.347000,1
lavanyabacche/mobile-addiction-lgbm,Mobile Addiction || LGBM,Lavanya Bacche,2026-08-10 19:36:50.857000,1
lavanyabacche/tps-s6e8-eda-advanced-feats-weighted-en-1fab70,"TPS S6E8: EDA, Advanced Feats & Weighted En 1fab70",Lavanya Bacche,2026-08-10 19:03:17.507000,1
aslamsayyad1/version-7,version_7,Aslam Sayyad ,2026-08-10 17:01:40.680000,0
sankalpnagineni/lgbm-xgboost-rank-blend-s6e8-baseline,LGBM + XGBoost Rank Blend | S6E8 Baseline,Sankalp Nagineni,2026-08-10 16:06:55.443000,4
muhammadshoaibaltaf/predicting-smartphone-addiction-playground-s6e8,Predicting Smartphone Addiction — Playground S6E8,Muhammad Shoaib Altaf,2026-08-10 15:52:52.517000,9
anhadmahajan06/s6e8-smartphone-addiction-ceiling-breaker,S6E8 |  Smartphone Addiction Ceiling Breaker,Anhad Mahajan,2026-08-10 14:15:49.557000,6
anhadmahajan06/s6e8-u-smart-phone-addict,S6E8 | U Smart Phone Addict?,Anhad Mahajan,2026-08-10 14:14:08.430000,11
valentinemwai/predicting-smartphone-addiction-xgboost-model,Predicting Smartphone Addiction- XGBOOST Model,valentine mwai,2026-08-10 10:09:48.433000,3
rohit4468/ensemble-xgb-cat-lgbm-s6-e8,Ensemble | XGB | CAT | LGBM S6|E8,Rohit Kumar,2026-08-10 06:49:07.953000,7
sergiobuilds/s6e8-feature-engineering-comparison,s6e8-feature-engineering-comparison,sergiobuilds,2026-08-10 05:41:25.817000,0
sergiobuilds/s6e8-xgb-smartphone-addiction,s6e8-xgb-smartphone-addiction,sergiobuilds,2026-08-10 05:27:51.427000,0
sergiobuilds/s6e8-eda-smartphone-addiction,s6e8-eda-smartphone-addiction,sergiobuilds,2026-08-10 05:13:02.360000,0
cv13j0/doomscroll-detector-v3,Doomscroll Detector v3,C4rl05/V,2026-08-10 04:53:06.297000,2
rauffauzanrambe/s6e8-technology-addiction-lb-0-97092-prime,S6E8 Technology Addiction LB 0.97092 Prime 🔥,Ra'uf Fauzan Rambe,2026-08-10 04:38:12.380000,10
dariushafshar/94-verified-oofs-honest-cv-0-96985-lb-0-97097,"94 Verified OOFs — Honest CV 0.96985, LB 0.97097",Dariush Afshar,2026-08-10 00:28:21.507000,2
