member,dir,sd_oof,sd_test,ratio,mean_oof,mean_test,min_oof,max_oof,min_test,max_test,ks
bolt_deepfm_exact,ext_members2,5.397489865609453,5.3837569266172105,0.9974556804488429,3.5959900620494896,3.6301194706541926,-10.3508939743042,31.000545501708984,-9.272344589233398,26.318584442138672,0.008240101634867325
ad_glgbd4,ext_members3,0.37866945787726647,0.3795027460228439,1.0022005686707576,0.7048135901391724,0.7049751170021993,0.0001328012866520949,0.9999999873286359,0.0002808632504875562,0.9999999848986562,0.007941900668325452
lexb_xgb_base,ext_members14,0.3883053282170833,0.38871501834625366,1.0010550721285527,0.7099624424356484,0.7097380337011718,5.390880687627941e-06,1.0,1.2351991586001532e-05,1.0000000149011612,0.007828464411177016
naji02,oof,0.37624342779915987,0.37769971571074523,1.0038706002656417,0.709503983709781,0.7093405443559158,0.00024798797676339746,0.9999218583106995,0.000310530886054039,0.9999116063117981,0.007721399095718118
fmnum,ext_members,7.555944310422447,7.582186978632259,1.0034731156201897,5.290222060936372,5.353629439668228,-12.084251642227173,40.41428279876709,-11.169694805145264,40.3748498916626,0.007720260528835676
fmdeep,ext_members,7.688186626172567,7.70133040524848,1.001709607182423,5.2506047565501195,5.306626411578414,-13.279112339019775,37.872490882873535,-10.923035144805908,38.40085411071777,0.007671576411605541
fmwide,ext_members,7.302187725609661,7.333049435002553,1.0042263648310021,4.830424140091104,4.899458422668048,-9.262935638427734,39.0084228515625,-9.732022571563721,40.67443695068359,0.007450429130402281
golem_c,ext_members,0.33432906821750663,0.3378390489289491,1.0104985807251405,0.7099981038217116,0.7090269845755592,0.005098051019305085,0.9999995081257468,0.005106684983386218,0.9999991812535998,0.007292407582156102
linlat,oof,0.37233950734436105,0.3739846451149388,1.0044183809080893,0.704031722404876,0.7043227307527421,7.41788795264037e-05,0.999999977820256,8.70841747603255e-05,0.9999999644406833,0.007115111459511159
ad_logregte,ext_members3,0.3680574999302284,0.36945172310703417,1.0037880580536196,0.7070710065702855,0.7072236515075285,2.7777150529016617e-41,1.0,5.63423339176677e-06,0.999998062014751,0.007109417072773683
ad_gnn_te,ext_members3,0.37543180830319095,0.3750555687028929,0.9989978483655967,0.7017084253476897,0.7025724697166088,3.653263775049709e-05,0.9999964237213135,1.5175259477473446e-05,0.9999881237745285,0.007105453611328638
rff_lat,ext_members8,0.36451792885779816,0.36573733854321633,1.003345266690281,0.7077773476286945,0.7079538582284982,0.000277472741979399,0.9999983000989461,0.00034462255785912114,0.9999960777787067,0.006622716546970331
ad_lgbs7,ext_members3,0.37873837513034275,0.3796123265104199,1.0023075332141254,0.7057760397566998,0.7058120946092123,0.0003484383952702121,0.999999639144124,0.0004841021031817742,0.9999993637563703,0.0066058773897834655
fmplr,ext_members,8.590358485559289,8.58840051455199,0.999772073422711,5.878914550306365,5.9361298256980835,-14.814290046691895,48.67541980743408,-13.215233421325681,42.93632087707519,0.006550739520674309
ad_lgbte,ext_members3,0.37858856986834766,0.37944521493676403,1.0022627335756975,0.7056668876939104,0.7057047799635969,0.00035643757624154935,0.9999994581872242,0.0006922957127363859,0.9999989100727402,0.0064767341572959936
ad_gnn_wide,ext_members3,0.377538520774699,0.3772218655136666,0.9991612637026213,0.6974937901627464,0.6984209796732976,0.00011998604168184102,0.9999992847442627,4.239385907567339e-05,0.9999967217445374,0.00623843808377722
ravi_cb1c,ext_members11es,0.36660101517971755,0.3681742490848336,1.004291406297238,0.7091111694335991,0.7090729766251042,0.00020155214588157833,0.9999980926513672,0.00015644145605619997,0.9999977350234985,0.006217706471807416
golem_e,ext_members,0.3685789769752328,0.3695820189371844,1.0027213759454843,0.711174616336793,0.7109764852218824,2.9986194931552745e-05,1.0,3.802662058660644e-05,1.0000000149011612,0.006076549523256203
pubfe_lgb,oof,0.36862383908730934,0.369515108599674,1.0024178292824777,0.7102905928599068,0.7100893458817565,0.00010659041436156258,0.9999997615814209,0.00029755497234873474,0.9999995827674866,0.006074614535576006
