stem,cv,lb,n_sent,gap,fam,set,gap6
blend160origm,0.9700442444424164,0.97106,1,0.0010157555575835,ens4,blend160origm,1015.7555575834999
w14a_repro159av,0.9700436164293268,0.97106,1,0.0010163835706733,ens4,w14a_repro159av,1016.3835706732999
blend159,0.9700433779222748,0.97106,1,0.0010166220777252,ens4,blend159,1016.6220777252
blend158,0.97004322665942,0.97106,1,0.0010167733405801,ens4,blend158,1016.7733405801
blend160orig,0.9700423076141412,0.97106,1,0.0010176923858586,ens4,blend160orig,1017.6923858586
blend156,0.9700416046775032,0.97106,1,0.0010183953224968,ens4,blend156,1018.3953224968
blend158_rankraw,0.970036419922286,0.97104,1,0.0010035800777139,rankraw,blend158,1003.5800777139
blend156_rankraw,0.9700360784150184,0.97104,1,0.0010039215849816,rankraw,blend156,1003.9215849816
blend153,0.9700343285733894,0.97104,1,0.0010056714266105,ens4,blend153,1005.6714266105
blend159av_rankraw,0.9700338606526144,0.97102,1,0.0009861393473854,rankraw,blend159av,986.1393473854
blend150sx,0.9700330480936658,0.97104,1,0.0010069519063342,ens4,blend150sx,1006.9519063342001
blend150fx,0.9700319433658622,0.97104,1,0.0010080566341378,ens4,blend150fx,1008.0566341378
blend159av_hybrid,0.9700291725494375,0.97102,1,0.0009908274505623,hybrid,blend159av,990.8274505623
blend158_hybrid,0.9700283333245054,0.97103,1,0.0010016666754945,hybrid,blend158,1001.6666754944999
blend158_rescale,0.9700273730091136,0.97105,1,0.0010226269908865,rescale,blend158,1022.6269908865
blend156_rescale,0.970025114813873,0.97105,1,0.0010248851861269,rescale,blend156,1024.8851861269
stack_pub151_fixed_rankraw,0.9700245019225018,0.97103,1,0.0010054980774981,rankraw,stack_pub151_fixed,1005.4980774981
stack_pub151_hybrid,0.9700242945519818,0.97099,1,0.0009657054480182,hybrid,stack_pub151,965.7054480182
blend150fx_rankraw,0.9700240718313954,0.97102,1,0.0009959281686046,rankraw,blend150fx,995.9281686046
stack_pub151_rankraw,0.970023065836235,0.97102,1,0.000996934163765,rankraw,stack_pub151,996.9341637649999
blend150sx_rankraw,0.970021856854838,0.97102,1,0.0009981431451618,rankraw,blend150sx,998.1431451618
stack_pub149_hybrid,0.9700183101166489,0.97099,1,0.0009716898833511,hybrid,stack_pub149,971.6898833511
blend150sx_hybrid,0.9700160915169684,0.97101,1,0.0009939084830314,hybrid,blend150sx,993.9084830314
blend150fx_hybrid,0.9700142363358246,0.97099,1,0.0009757636641753,hybrid,blend150fx,975.7636641752999
blend150fx_rescale,0.9700125368779352,0.97102,1,0.0010074631220649,rescale,blend150fx,1007.4631220649
blend159av_logit,0.9699647645223464,0.97106,1,0.0010952354776535,logit,blend159av,1095.2354776535
blend158_logit,0.9699613898723588,0.97106,1,0.0010986101276413,logit,blend158,1098.6101276412999
blend150sx_logit,0.9699553831959208,0.97104,1,0.0010846168040791,logit,blend150sx,1084.6168040791001
blend150fx_logit,0.9699498370519284,0.97103,1,0.0010801629480714,logit,blend150fx,1080.1629480714
stack_pub86_hybrid,0.9696778003750686,0.9708,1,0.0011221996249314,hybrid,stack_pub86,1122.1996249314
