stem,cv,lb,day,fam,std,corr,era,cv6,lb6
blend159av,0.9700448767129296,0.97106,2026-08-13,ens4,0.0,0.0,0.0,-12.262808796181801,971060.0
blend159av_h3,0.9700491721182696,0.97105,2026-08-13,h3,0.0,0.0,0.0,-7.967403456210498,971050.0
blend159av_hybrid,0.9700291725494375,0.97102,2026-08-17,hybrid,0.0,0.0,0.0,-27.9669722882403,971020.0
blend159av_rankraw,0.9700338606526144,0.97102,2026-08-17,rankraw,0.0,0.0,0.0,-23.278869111353906,971020.0
blend159av_rescale,0.9700286702343646,0.97105,2026-08-19,rescale,0.0,0.0,0.0,-28.46928736122134,971050.0
blend159av_w,0.9700481784285347,0.97105,2026-08-15,w,0.0,0.0,0.0,-8.961093191039993,971050.0
blend159av_wh3,0.9700492569216792,0.97105,2026-08-15,wh3,0.0,0.0,0.0,-7.8826000465825885,971050.0
blend160orig,0.9700423076141412,0.97106,2026-08-16,ens4,0.0,0.0,0.0,-14.831907584555992,971060.0
blend160orig_h3,0.970046331122863,0.97105,2026-08-15,h3,0.0,0.0,0.0,-10.808398862804935,971050.0
blend160orig_rescale,0.9700233486631156,0.97105,2026-08-19,rescale,0.0,0.0,0.0,-33.79085861021647,971050.0
blend160origm,0.9700442444424164,0.97106,2026-08-15,ens4,0.0,0.0,0.0,-12.895079309349633,971060.0
blend160origm_h3,0.970048654980868,0.97105,2026-08-13,h3,0.0,0.0,0.0,-8.484540857778278,971050.0
blend160origm_rescale,0.9700270088294172,0.97105,2026-08-19,rescale,0.0,0.0,0.0,-30.130692308616425,971050.0
blendtop3,0.9700494604052072,0.97105,2026-08-14,ens4,0.0,0.0,0.0,-7.67911651855524,971050.0
stack_pub149_hybrid,0.9700183101166489,0.97099,2026-08-10,hybrid,0.0,0.0,0.0,-38.82940507693444,970990.0
stack_pub151_fixed_rankraw,0.970024501922502,0.97103,2026-08-10,rankraw,0.0,0.0,0.0,-32.63759922378373,971030.0
stack_pub151_hybrid,0.970024294551982,0.97099,2026-08-10,hybrid,0.0,0.0,0.0,-32.84496974376161,970990.0
stack_pub151_rankraw,0.970023065836235,0.97102,2026-08-10,rankraw,0.0,0.0,0.0,-34.07368549079859,971020.0
w14a_repro159av,0.9700436164293268,0.97106,2026-08-17,ens4,0.0,0.0,0.0,-13.523092398992631,971060.0
w14a_repro159av_h3,0.9700472004643722,0.97105,2026-08-17,h3,0.0,0.0,0.0,-9.939057353580694,971050.0
w14a_repro159av_rescale,0.9700271740621011,0.97105,2026-08-19,rescale,0.0,0.0,0.0,-29.965459624636814,971050.0
w16e_aonly,0.9700544304624674,0.97108,2026-08-16,ens4,0.0,0.0,0.0,-2.7090592583656203,971080.0
w16h_h3av6,0.9700487290113214,0.97105,2026-08-16,ens4,0.0,0.0,0.0,-8.410510404344151,971050.0
w16i_schemeavg,0.9700556662570056,0.97107,2026-08-16,ens4,0.0,0.0,0.0,-1.4732647202198024,971070.0
w16l_maskw_h3,0.970045740213802,0.97105,2026-08-16,h3,0.0,0.0,0.0,-11.3993079238206,971050.0
w16n_finegrid,0.9700556964750704,0.97107,2026-08-16,ens4,0.0,0.0,0.0,-1.4430466553916332,971070.0
w16q_ens4avg,0.9700515171213084,0.97108,2026-08-16,ens4,0.0,0.0,0.0,-5.6224004173488495,971080.0
w16t_cellens4,0.9700513726632268,0.97108,2026-08-16,ens4,0.0,0.0,0.0,-5.766858498956751,971080.0
