member,ks,ratio,res_oof,res_test,smoothing
pub_tabm,0.0456178894359653,1.0034873974670038,0.6374222737785467,0.7046965595912279,0.06727428581268124
pub_ravi,0.0453463234364514,1.002072941537078,0.7154847845361884,0.7345174855384033,0.01903270100221499
knn,0.0419194131918794,1.0068309046459467,0.8066083379497779,0.819086607582804,0.012478269633026118
y94_rmlp_lat,0.038946547086462,1.003097825272529,0.6830361210872921,0.9163454853494071,0.23330936426211502
rmlp_lat,0.038946547086462,1.003097825272529,0.6830361210872921,0.9163454853494071,0.23330936426211502
bolt_tabr_retrieval,0.0376060681374315,1.0021171508050395,0.6943282096825284,0.7473894877523608,0.05306127806983241
y94_tabm_deeper,0.0358991839407091,1.002324222712483,0.6402991745363186,0.7713110272627252,0.13101185272640659
tabm_deeper,0.0358991839407091,1.002324222712483,0.6402991745363186,0.7713110272627252,0.13101185272640659
tabm_x12,0.0347306892682898,1.0027291027327103,0.620872500791907,0.7764780527974836,0.15560555200557658
ern711_contextual,0.0344765667587532,0.9965404079622164,0.6386907714982881,0.7060465336042281,0.06735576210593996
realmlp15,0.0318822678494782,1.005430262975223,0.7563500822281589,0.9528150333106088,0.19646495108244988
mkt_mlp,0.024687649762742,1.0008509180803755,0.6806336413695147,0.8106965190920075,0.1300628777224928
rmlp_lat3,0.0225423892963076,1.0035047078046544,0.7925883283745727,0.9788762816315786,0.18628795325700587
y94_rmlp_lat3,0.0225423892963076,1.0035047078046544,0.7925883283745727,0.9788762816315786,0.18628795325700587
tabm_seed3,0.0216416587257888,1.0030711300595585,0.7069697947116518,0.8391877206363777,0.13221792592472592
tabm_bounds,0.0212332724171078,1.0030616392231484,0.7104223649021001,0.8347395562635419,0.12431719136144181
pub_resnet,0.0179352504625006,1.0012783552130664,0.6388961610948712,0.7240754365478465,0.08517927545297521
orig_bin,0.0170857238182273,0.9977768429911682,0.9999956607831708,1.0,4.339216829185588e-06
mkt_nn,0.0167228829770781,1.0035582991940022,0.6941908011496032,0.8356474137872846,0.1414566126376814
ad_hgbte,0.0158040548019998,1.002205884237356,0.9999985535943903,1.0,1.4464056097285294e-06
tabm_wide,0.0156799481609979,1.0026749836964022,0.6532430583378774,0.7871968464607056,0.1339537881228282
y94_pub_tabnet,0.0154112149934062,1.0023033940612698,0.6438009225174979,0.8155361759286134,0.1717352534111155
pub_tabnet,0.0154112149934062,1.0023033940612698,0.6438009225174979,0.8155361759286134,0.1717352534111155
realmlp,0.0144926370794682,1.007628264493072,0.7818198386100621,0.9717754183231972,0.18995557971313515
om_flamllgb,0.0140317209881908,0.9931139661556988,0.40043450024516575,0.9332707845373976,0.5328362842922318
golem_b,0.01395535635939,1.0046935668009185,0.7228542211178112,0.8373821303939899,0.11452790927617873
