member,dir,oof_auc,n_distinct
dkv_lgb,data/ext_members12es,0.9639537086775002,296302
golem_f,data/ext_members,0.9640479661295521,296302
ad_gnn_wide,data/ext_members3,0.9640497938074364,262406
ravi_lgbm1c,data/ext_members11,0.9641730989593497,219434
ravi_xgb1c,data/ext_members11,0.9642014816182081,216748
dkv_xgb,data/ext_members12es,0.9644659266392541,245040
fmpure,data/ext_members,0.9645492323185924,296281
ravi_realmlp1c,data/ext_members11es,0.9646676404795624,213370
mkt_cat,data/ext_members2,0.9647696947252113,296302
golem_a,data/ext_members,0.964792297584154,296302
golem_e,data/ext_members,0.9648629346733592,236682
fmwide,data/ext_members,0.9649296734139725,296265
bolt_lgb_driver_recon,data/ext_members2,0.9650057382968876,223685
bolt_lookup_v3_evidence,data/ext_members2,0.9653372490276525,30011
bolt_lookup_v1,data/ext_members2,0.9654725180519456,194748
mkt_xgb,data/ext_members2,0.9654747979047347,237201
lat_ctraw_r400,data/ext_members6,0.965481330634299,296299
bolt_deepfm_exact,data/ext_members2,0.965606797933168,295379
lat_ctdrop_r400,data/ext_members7pin,0.9656895128506031,296301
lat_ctdrop_r400,data/ext_members7,0.9656895128506031,296301
mkt_lgb,data/ext_members2,0.9657037295951756,296302
bei_identity_digit_enhanced103,data/ext_members2,0.9657459768249456,296302
lat_ctfix_r400,data/ext_members6,0.96577519451728,296300
lat_ctfixte_r400,data/ext_members6,0.9657882074461972,296300
bei_xgb_identity_digit_enhanced103,data/ext_members2,0.9658487549137698,266118
bei_xgb_screen_relations_treatment110,data/ext_members2,0.9660285503913961,265711
bei_lookup_fixed24,data/ext_members2,0.9660513504365333,201111
bei_lookup_fixed24_seed1042,data/ext_members2,0.9660576049569232,200054
xgb_ctraw_r400,data/ext_members7,0.9661227778791031,281211
om_flamllgb,data/ext_members10es,0.9663407222810896,276530
bolt_lgb_te_5fold,data/ext_members2,0.9663602897747238,217196
ad_glgbnote2,data/ext_members3,0.9663810314799509,296302
xgb_ctfix_r400,data/ext_members7,0.9663822154293216,279279
dm_lgb,data/ext_members11es,0.9663919918385531,222845
bolt_cat_pair_evidence,data/ext_members2,0.9664626387923961,231135
ad_lgbnote,data/ext_members3,0.9664905786893656,296302
ern711_contextual,data/ext_members16,0.9665204981918208,209203
om_ftt,data/ext_members10,0.9665681105565826,218712
fmdeep,data/ext_members,0.9666559279782497,296281
dm_cat,data/ext_members11es,0.96670012544794,225157
y94_rmlp_lat,data/ext_members15,0.9667813497495822,271515
bolt_repr_lgb_global,data/ext_members2,0.9668143171257472,216271
y94_rmlp_lat3,data/ext_members15,0.9669280732219446,290043
ad_gxgbnote,data/ext_members3,0.9670417857696223,240736
bolt_cat_nested_te,data/ext_members2,0.967061540716748,221898
fmnum,data/ext_members,0.9671329196328098,296273
om_cat,data/ext_members10,0.9671499133186101,266642
bei_exact_value_catboost_fixed4000,data/ext_members2,0.9672979770826748,296302
bolt_realmlp_lattice,data/ext_members2,0.9673103156590613,205652
fmplr,data/ext_members,0.9673922620024661,296275
ad_hgbte,data/ext_members3,0.9674683383484557,296302
om_tabtrans,data/ext_members10es,0.9674689212145893,37095
omid_tabm,data/ext_members13es,0.9675077199415221,225330
y94_pub_tabnet,data/ext_members15,0.9675594948587001,241645
ern711_multilevel,data/ext_members16,0.9675984885137187,217672
bolt_lgb_pair_lattice,data/ext_members2,0.967697540773477,211040
om_cnn,data/ext_members10es,0.967705633496061,48143
lat_ctraw2000,data/ext_members7,0.967710670936308,296302
bei_screen_relations,data/ext_members2,0.9677335645990914,296302
bolt_foldsafe_te_cat,data/ext_members2,0.9677370177805276,219480
bolt_cat_dual_seed81,data/ext_members2,0.9678270574808165,220517
bolt_xgb_dd_d4,data/ext_members2,0.967848397671187,204219
bolt_cat_dual_view,data/ext_members2,0.9678508975449808,220665
bolt_lgb_missing_global,data/ext_members2,0.9679088204809952,211324
bolt_xgb_te_4fold,data/ext_members2,0.9679096772024662,211016
lexb_xgb_base,data/ext_members14,0.9679141267427729,212867
ad_gcatd8,data/ext_members3,0.9679433569282856,296302
om_flamlxgb,data/ext_members10es,0.9679800816760007,281094
lexb_cat_base,data/ext_members14,0.9679867951811431,296302
bolt_xgb_dd_d5,data/ext_members2,0.9680121411857949,203295
ram_hgb,data/ext_members12,0.9680258266201603,296302
bolt_xgb_te_5fold,data/ext_members2,0.9680276088516985,203227
ad_glgb127,data/ext_members3,0.9680911238550453,296302
ad_gcatseed7,data/ext_members3,0.9680932890212705,296302
bolt_xgb_dd_d6,data/ext_members2,0.968095276030309,203452
y94_tabm_imp,data/ext_members15,0.9680982231162424,233092
bolt_xgb_d7_alt2,data/ext_members2,0.968100467280761,203843
bolt_xgb_d7_alt1,data/ext_members2,0.968100467280761,203843
bolt_xgb_hpo_d7,data/ext_members2,0.968133615092519,204133
bolt_foldsafe_te_multi,data/ext_members2,0.968148931952264,214010
bolt_foldsafe_te_wide,data/ext_members2,0.9681547102450823,213012
ad_lgbs7,data/ext_members3,0.9681547335467371,296302
ad_lgbte,data/ext_members3,0.9681645826366312,296302
ad_glgbd4,data/ext_members3,0.9681932018996406,296302
bolt_foldsafe_te_xgb,data/ext_members2,0.9682418043259399,213052
bei_realmlp_seed01_fixed4,data/ext_members2,0.9682583979407973,296299
ram_lgb,data/ext_members12,0.9682590393147879,296302
