x,y,only_x,only_y,gap
w40_ad211std,w34_ad196std_h3,5.320097739808261,5.540969516208861,2.558883160992991
w40_ad211std,w34_ad195std_wh3,5.320097739808261,5.547976383357309,2.566134281340055
w40_ad211std,w34_ad195std_w,5.320097739808261,5.556961749098264,2.57864995370619
w40_ad211std,w29_ad194stdcorr,5.320097739808261,5.563995510048699,2.5499523446778767
w40_ad211std,w27_ad190stdcorr,5.320097739808261,5.56142165028723,2.5463536364841275
w40_ad211std,w23_ad187stdcorr,5.320097739808261,5.556949452729896,2.5400711307302117
w40_ad211std,w21_ad187corr_ens4,5.320097739808261,5.571162295585964,2.5965254381881095
w38_ad202std,w36_ad197stdcorr,5.3239656740333885,5.249331249971874,1.3541202150518075
w38_ad202std,w34_ad195stdcorr,5.3239656740333885,5.500984787824564,1.8324881467269734
w38_ad202std,w36_ad197std_h3,5.3239656740333885,5.397112548467703,1.9490387740079314
w38_ad202std,w38_ad202std_hybrid,5.3239656740333885,5.347469398751855,1.8527961297659203
w38_ad202std,w36_ad199std_hybrid,5.3239656740333885,5.382924579025712,1.8516852309112437
w38_ad202std,w36_ad199std_rescale,5.3239656740333885,5.545193907455541,2.060671318671666
w38_ad202std,w36_ad197std,5.3239656740333885,5.5653815839323215,2.089715398789849
w38_ad202std,w40_ad211std_rescale,5.3239656740333885,5.546872172039002,2.072387481457554
w38_ad202std,w34_ad195std_h3,5.3239656740333885,5.533158946491312,2.0620712538366206
w38_ad202std,w38_ad202std_rescale,5.3239656740333885,5.5574471185100265,2.084246550279204
w38_ad202std,w34_ad196std_h3,5.3239656740333885,5.540969516208861,2.068344082159456
w38_ad202std,w34_ad195std_wh3,5.3239656740333885,5.547976383357309,2.0724417691817507
w38_ad202std,w34_ad195std_w,5.3239656740333885,5.556961749098264,2.0814325743122026
w38_ad202std,w29_ad194stdcorr,5.3239656740333885,5.563995510048699,2.056539079581853
w38_ad202std,w27_ad190stdcorr,5.3239656740333885,5.56142165028723,2.0534808475640602
w38_ad202std,w23_ad187stdcorr,5.3239656740333885,5.556949452729896,2.048051574267447
w38_ad202std,w21_ad187corr_ens4,5.3239656740333885,5.571162295585964,2.0915785682736896
w36_ad197stdcorr,w34_ad195stdcorr,5.249331249971874,5.500984787824564,5.239795027882792
w36_ad197stdcorr,w36_ad197std_h3,5.249331249971874,5.397112548467703,5.163109889370389
w36_ad197stdcorr,w38_ad202std_hybrid,5.249331249971874,5.347469398751855,3.712743926094845
w36_ad197stdcorr,w36_ad199std_hybrid,5.249331249971874,5.382924579025712,3.935010709275957
w36_ad197stdcorr,w36_ad199std_rescale,5.249331249971874,5.545193907455541,4.509510841337033
w36_ad197stdcorr,w36_ad197std,5.249331249971874,5.5653815839323215,5.163326424371917
w36_ad197stdcorr,w40_ad211std_rescale,5.249331249971874,5.546872172039002,4.642482418916188
w36_ad197stdcorr,w34_ad195std_h3,5.249331249971874,5.533158946491312,5.209052660909947
w36_ad197stdcorr,w38_ad202std_rescale,5.249331249971874,5.5574471185100265,4.7009497139952146
w36_ad197stdcorr,w34_ad196std_h3,5.249331249971874,5.540969516208861,5.212925112049561
w36_ad197stdcorr,w34_ad195std_wh3,5.249331249971874,5.547976383357309,5.211740040453151
w36_ad197stdcorr,w34_ad195std_w,5.249331249971874,5.556961749098264,5.20108554919716
w36_ad197stdcorr,w29_ad194stdcorr,5.249331249971874,5.563995510048699,5.2068737024092115
w36_ad197stdcorr,w27_ad190stdcorr,5.249331249971874,5.56142165028723,5.203868771030102
w36_ad197stdcorr,w23_ad187stdcorr,5.249331249971874,5.556949452729896,5.198064132593572
w36_ad197stdcorr,w21_ad187corr_ens4,5.249331249971874,5.571162295585964,5.204791929165367
w34_ad195stdcorr,w36_ad197std_h3,5.500984787824564,5.397112548467703,7.0542647102847695
w34_ad195stdcorr,w38_ad202std_hybrid,5.500984787824564,5.347469398751855,5.548910270561464
w34_ad195stdcorr,w36_ad199std_hybrid,5.500984787824564,5.382924579025712,5.983698699215893
w34_ad195stdcorr,w36_ad199std_rescale,5.500984787824564,5.545193907455541,7.302780532510951
w34_ad195stdcorr,w36_ad197std,5.500984787824564,5.5653815839323215,8.48033195064636
w34_ad195stdcorr,w40_ad211std_rescale,5.500984787824564,5.546872172039002,7.6024204476270825
w34_ad195stdcorr,w34_ad195std_h3,5.500984787824564,5.533158946491312,8.975687934958842
w34_ad195stdcorr,w38_ad202std_rescale,5.500984787824564,5.5574471185100265,7.580428951710928
w34_ad195stdcorr,w34_ad196std_h3,5.500984787824564,5.540969516208861,8.951200827665161
w34_ad195stdcorr,w34_ad195std_wh3,5.500984787824564,5.547976383357309,9.066239599953406
w34_ad195stdcorr,w34_ad195std_w,5.500984787824564,5.556961749098264,9.042858587461524
w34_ad195stdcorr,w29_ad194stdcorr,5.500984787824564,5.563995510048699,9.10601357795531
w34_ad195stdcorr,w27_ad190stdcorr,5.500984787824564,5.56142165028723,9.08764900645474
w34_ad195stdcorr,w23_ad187stdcorr,5.500984787824564,5.556949452729896,9.045195505488664
w34_ad195stdcorr,w21_ad187corr_ens4,5.500984787824564,5.571162295585964,9.139652406971436
w36_ad197std_h3,w38_ad202std_hybrid,5.397112548467703,5.347469398751855,5.213715418358333
w36_ad197std_h3,w36_ad199std_hybrid,5.397112548467703,5.382924579025712,5.586950161785353
w36_ad197std_h3,w36_ad199std_rescale,5.397112548467703,5.545193907455541,6.572013751138002
w36_ad197std_h3,w36_ad197std,5.397112548467703,5.5653815839323215,7.726747161534149
w36_ad197std_h3,w40_ad211std_rescale,5.397112548467703,5.546872172039002,6.79222346295137
w36_ad197std_h3,w34_ad195std_h3,5.397112548467703,5.533158946491312,7.797113282547798
w36_ad197std_h3,w38_ad202std_rescale,5.397112548467703,5.5574471185100265,6.8746321243816055
w36_ad197std_h3,w34_ad196std_h3,5.397112548467703,5.540969516208861,7.801885032153223
w36_ad197std_h3,w34_ad195std_wh3,5.397112548467703,5.547976383357309,7.7999936930136755
w36_ad197std_h3,w34_ad195std_w,5.397112548467703,5.556961749098264,7.788836913648993
w36_ad197std_h3,w29_ad194stdcorr,5.397112548467703,5.563995510048699,7.723025345883798
w36_ad197std_h3,w27_ad190stdcorr,5.397112548467703,5.56142165028723,7.707319354114588
w36_ad197std_h3,w23_ad187stdcorr,5.397112548467703,5.556949452729896,7.686185184516944
w36_ad197std_h3,w21_ad187corr_ens4,5.397112548467703,5.571162295585964,7.791786291927565
w38_ad202std_hybrid,w36_ad199std_hybrid,5.347469398751855,5.382924579025712,6.804297745402437
w38_ad202std_hybrid,w36_ad199std_rescale,5.347469398751855,5.545193907455541,6.0005788647104055
w38_ad202std_hybrid,w36_ad197std,5.347469398751855,5.5653815839323215,6.442483135324437
w38_ad202std_hybrid,w40_ad211std_rescale,5.347469398751855,5.546872172039002,6.191766843898222
w38_ad202std_hybrid,w34_ad195std_h3,5.347469398751855,5.533158946491312,6.4865087775397114
w38_ad202std_hybrid,w38_ad202std_rescale,5.347469398751855,5.5574471185100265,6.193168449855875
w38_ad202std_hybrid,w34_ad196std_h3,5.347469398751855,5.540969516208861,6.580423922569025
w38_ad202std_hybrid,w34_ad195std_wh3,5.347469398751855,5.547976383357309,6.791917890892364
w38_ad202std_hybrid,w34_ad195std_w,5.347469398751855,5.556961749098264,6.764798944932409
w38_ad202std_hybrid,w29_ad194stdcorr,5.347469398751855,5.563995510048699,6.92430938227335
w38_ad202std_hybrid,w27_ad190stdcorr,5.347469398751855,5.56142165028723,6.918562449805904
w38_ad202std_hybrid,w23_ad187stdcorr,5.347469398751855,5.556949452729896,6.925712858326733
w38_ad202std_hybrid,w21_ad187corr_ens4,5.347469398751855,5.571162295585964,7.285106178314891
w36_ad199std_hybrid,w36_ad199std_rescale,5.382924579025712,5.545193907455541,6.566755589854438
w36_ad199std_hybrid,w36_ad197std,5.382924579025712,5.5653815839323215,7.131254904088564
w36_ad199std_hybrid,w40_ad211std_rescale,5.382924579025712,5.546872172039002,6.747038696485106
w36_ad199std_hybrid,w34_ad195std_h3,5.382924579025712,5.533158946491312,7.106638382538222
w36_ad199std_hybrid,w38_ad202std_rescale,5.382924579025712,5.5574471185100265,6.76002741442062
w36_ad199std_hybrid,w34_ad196std_h3,5.382924579025712,5.540969516208861,7.246723068412393
w36_ad199std_hybrid,w34_ad195std_wh3,5.382924579025712,5.547976383357309,7.496066639840137
w36_ad199std_hybrid,w34_ad195std_w,5.382924579025712,5.556961749098264,7.481848815863486
w36_ad199std_hybrid,w29_ad194stdcorr,5.382924579025712,5.563995510048699,7.76188929437194
w36_ad199std_hybrid,w27_ad190stdcorr,5.382924579025712,5.56142165028723,7.773142696474679
w36_ad199std_hybrid,w23_ad187stdcorr,5.382924579025712,5.556949452729896,7.7905386638012715
w36_ad199std_hybrid,w21_ad187corr_ens4,5.382924579025712,5.571162295585964,8.304325667675585
w36_ad199std_rescale,w36_ad197std,5.545193907455541,5.5653815839323215,9.135796943504829
w36_ad199std_rescale,w40_ad211std_rescale,5.545193907455541,5.546872172039002,10.389089525444433
w36_ad199std_rescale,w34_ad195std_h3,5.545193907455541,5.533158946491312,8.93728380399989
w36_ad199std_rescale,w38_ad202std_rescale,5.545193907455541,5.5574471185100265,10.267061351507436
w36_ad199std_rescale,w34_ad196std_h3,5.545193907455541,5.540969516208861,9.249398641113658
w36_ad199std_rescale,w34_ad195std_wh3,5.545193907455541,5.547976383357309,9.302406009985134
w36_ad199std_rescale,w34_ad195std_w,5.545193907455541,5.556961749098264,9.339091516681947
