stem,cv,dcv,uncond,cond
w16i_schemeavg,0.9700556662570055,-84.33970549626136,5.571170962357428,-433.02098381810356
w16e_aonly,0.9700544304624674,-85.57550003429616,5.5711709668976255,-431.7851912348997
w16q_ens4avg,0.9700515171213085,-88.48884119316835,5.571170969458763,-428.8718484042911
w16t_cellens4,0.9700513726632269,-88.63329927477626,5.57117096928414,-428.7273904174799
blendtop3,0.9700494604052071,-90.54555729459679,5.571170967828948,-426.81514560536016
blend159av_wh3,0.9700492569216792,-90.74904082251312,5.571170967246871,-426.6116374946432
blend159av_h3,0.9700491721182697,-90.83384423203,5.571170967828948,-426.5268504677806
w16h_h3av6,0.9700487290113214,-91.27695118027468,5.571170968469232,-426.08374903770164
blend160origm_h3,0.9700486549808679,-91.35098163381983,5.571170968411025,-426.0096937860362
blend158_h3,0.9700483189336571,-91.68702884465586,5.571170968585648,-425.6736545326421
blend159av_w,0.9700481784285347,-91.82753396697052,5.571170968702063,-425.5331540546613
w14a_repro159av_h3,0.9700472004643722,-92.80549812951122,5.571170969109517,-424.5551908608759
blend159_h3,0.9700469365091934,-93.06945330833649,5.571170969051309,-424.29123113059904
blend156w,0.970046657295287,-93.34866721466551,5.571170969109517,-424.0120202853577
blend156w2,0.970046465909134,-93.54005336770221,5.571170969109517,-423.8206379750045
blend160orig_h3,0.970046331122863,-93.67483963873546,5.571170969400555,-423.6858474893961
blend156_h3,0.9700461184445183,-93.88751798344863,5.571170969167724,-423.47317126905546
w16l_maskw_h3,0.970045740213802,-94.26574869975113,5.571170969109517,-423.0949370857561
blend159av,0.9700448767129297,-95.12924957200131,5.571170969691593,-422.2314375942806
blend160origm,0.9700442444424165,-95.76152008516914,5.571170969691593,-421.5991562671261
w14a_repro159av,0.9700436164293268,-96.38953317492316,5.571170969691593,-420.9711630936945
blend159,0.9700433779222749,-96.62804022680938,5.571170969691593,-420.7326476582093
blend158,0.9700432266594199,-96.7793030818287,5.5711709696333855,-420.58139370311983
blend160orig,0.9700423076141412,-97.69834836048652,5.5711709696333855,-419.66233926662244
blend156,0.9700416046775031,-98.40128499860602,5.5711709696333855,-418.95939540164545
w29_ad194std_logit,0.9700399361886901,-100.06977381160631,5.571170969691593,-417.2909048385918
w27_ad190std_logit,0.9700395047477925,-100.50121470916996,5.571170969691593,-416.85945901088417
w27_ad188raw_logit,0.9700387329362934,-101.27302620832613,5.571170969691593,-416.08766408241354
blend158_rankraw,0.970036419922286,-103.58604021576402,5.571170969458763,-413.77464586053975
blend156_rankraw,0.9700360784150184,-103.9275474833401,5.571170969342347,-413.4331408344442
blend153,0.9700343285733896,-105.67738911215763,5.571170969749801,-411.6832946627401
blend159av_rankraw,0.9700338606526145,-106.14530988717341,5.57117096951697,-411.21537550131325
blend150sx,0.9700330480936659,-106.95786883585524,5.571170969749801,-410.40281436941586
blend150fx,0.9700319433658621,-108.06259663964646,5.5711709698080085,-409.29808778653387
w23_ad187std_logit,0.9700298054694743,-110.20049302745694,5.571170969691593,-407.160198058933
blend159av_hybrid,0.9700291725494377,-110.83341306405981,5.571170969691593,-406.52726274286397
blend159av_rescale,0.9700286702343646,-111.33572813715188,5.571170969749801,-406.02495381084736
blend158_hybrid,0.9700283333245054,-111.67263799627403,5.571170969691593,-405.6880514896475
blend158_rescale,0.9700273730091137,-112.63295338803658,5.571170969691593,-404.7277386469068
w14a_repro159av_rescale,0.9700271740621013,-112.83190040045632,5.571170969691593,-404.52879390330054
blend160origm_rescale,0.9700270088294171,-112.99713308465797,5.571170969691593,-404.36355413042475
blend159_rescale,0.9700258921564706,-114.113806031102,5.5711709696333855,-403.24688832473475
blend156_rescale,0.9700251148138731,-114.89114862861527,5.571170969691593,-402.4695307875518
w20_ad187_logit,0.9700247998203569,-115.20614214477476,5.571170969691593,-402.1545473370934
stack_pub151_fixed_rankraw,0.9700245019225019,-115.50403999982528,5.571170969749801,-401.8566492864629
stack_pub151_hybrid,0.9700242945519819,-115.71141051980317,5.571170969691593,-401.6492712373147
blend150fx_rankraw,0.9700240718313953,-115.93413110644325,5.5711709696333855,-401.42655304120854
blend160orig_rescale,0.9700233486631156,-116.657299386147,5.571170969691593,-400.7033888947917
stack_pub151_rankraw,0.970023065836235,-116.94012626672912,5.571170969691593,-400.4205470295856
blend150sx_rankraw,0.9700218568548381,-118.14910766361209,5.5711709696333855,-399.2115821868647
stack_pub149_hybrid,0.9700183101166489,-121.69584585286498,5.571170969691593,-395.6648467539344
blend150sx_hybrid,0.9700160915169685,-123.91444553316866,5.571170969749801,-393.4462376992451
blend150fx_hybrid,0.9700142363358245,-125.76962667720792,5.571170969691593,-391.5910502363695
blend150fx_rescale,0.970012536877935,-127.46908456673367,5.571170969691593,-389.8916043882491
w14a_repro159av_logit,0.9699648697654479,-175.13619705378238,5.571170969691593,-342.2244882583618
blend159av_logit,0.9699647645223465,-175.24144015523825,5.571170969691593,-342.119238942978
blend159_logit,0.9699646622223983,-175.34374010341747,5.571170969691593,-342.0169429887319
blend158_logit,0.9699613898723587,-178.6160901430245,5.571170969691593,-338.744598450372
blend150sx_logit,0.9699553831959209,-184.622766580822,5.571170969691593,-332.73791974247433
blend150fx_logit,0.9699498370519284,-190.16891057332953,5.571170969691593,-327.19176973740105
stack_pub86_hybrid,0.9696778003750685,-462.20558743326205,5.571170969691593,-55.29581811564276
stack_pub88_mine_logit,0.9696599465172034,-480.0594452982754,5.571170969691593,-38.06844457355328
stack_pub74_logit,0.9696413515631959,-498.6543993058535,5.571170969691593,-21.871579505561385
