stem,cv,lb,day,fam,std,cr,pred,res6,insample
w16q_ens4avg,0.9700515171213085,0.97108,2026-08-16,ens4,False,False,0.9710723169409784,7.683059021657002,True
w16t_cellens4,0.9700513726632269,0.97108,2026-08-16,ens4,False,False,0.9710720487791553,7.951220844737428,True
w20_ad187,0.970097889484853,0.97116,2026-08-17,ens4,False,False,0.971158399335322,1.600664678025332,True
w20_ad187_h3,0.9701008149538332,0.97115,2026-08-17,h3,False,False,0.971150121604832,-0.12160483209289197,True
w20_ad187_hybrid,0.9700773469651351,0.97113,2026-08-18,hybrid,False,False,0.9711105604047737,19.43959522632266,True
w20_ad187_logit,0.9700247998203569,0.97116,2026-08-19,logit,False,False,0.971156147976533,3.852023466976995,True
w20_ad187_rankraw,0.970091529975082,0.97114,2026-08-17,rankraw,False,False,0.9711452399375495,-5.2399375495282285,True
w20_ad187_rescale,0.9700778470728432,0.97115,2026-08-18,rescale,False,False,0.971142109694805,7.890305194990788,True
w21_ad187corr,0.9701068813712079,0.97117,2026-08-17,h3,False,True,0.9711739880514292,-3.9880514292045532,True
w21_ad187corr_ens4,0.970103933067418,0.97118,2026-08-17,ens4,False,True,0.9711822233929844,-2.223392984390671,True
w22_ad187corr_rankraw,0.9701001354964539,0.97117,2026-08-18,rankraw,False,True,0.9711738197982333,-3.819798233273275,True
w23_ad187std,0.9701058972467211,0.97115,2026-08-18,ens4,True,False,0.9711501712733556,-0.17127335560918056,True
w23_ad187std_h3,0.9701092750631359,0.97114,2026-08-18,h3,True,False,0.9711427332488299,-2.7332488299336433,True
w23_ad187std_h3_hybrid,0.9700977969987987,0.97112,2026-08-18,hybrid,True,False,0.9711254293011108,-5.429301110804197,True
w23_ad187std_h3_rankraw,0.97009179122053,0.97114,2026-08-18,rankraw,True,False,0.9711226317873084,17.368212691604157,True
w23_ad187std_h3_rescale,0.9700937038591301,0.97114,2026-08-18,rescale,True,False,0.9711484520097522,-8.45200975219118,True
w23_ad187std_logit,0.9700298054694743,0.97114,2026-08-18,logit,True,False,0.9711423470035925,-2.347003592473307,True
w23_ad187stdcorr,0.9701150808744373,0.97116,2026-08-18,h3,True,True,0.9711661159246406,-6.115924640615056,True
w27_ad188raw,0.9701113750689625,0.97116,2026-08-20,ens4,True,False,0.9711603399173124,-0.3399173124085664,True
w27_ad188raw_rescale,0.9700989713676981,0.97115,2026-08-20,rescale,True,False,0.9711582302421972,-8.230242197204696,True
w27_ad188std,0.9701093456480704,0.97116,2026-08-19,ens4,True,False,0.9711565726430963,3.427356903729084,True
w27_ad188std_h3,0.970111472035714,0.97115,2026-08-19,h3,True,False,0.9711468115542121,3.18844578783839,True
w27_ad190std,0.970110933814171,0.97117,2026-08-20,ens4,True,False,0.9711595208029508,10.479197049217959,True
w27_ad190std_logit,0.9700395047477925,0.97116,2026-08-20,logit,True,False,0.9711603520617182,-0.3520617182228847,True
w27_ad190std_rescale,0.9700990014183078,0.97115,2026-08-20,rescale,True,False,0.9711582860260357,-8.286026035753125,True
w27_ad190stdcorr,0.9701181344162544,0.97118,2026-08-20,h3,True,True,0.9711717843049161,8.215695083912955,True
w29_ad194std,0.9701116199443891,0.97116,2026-08-20,ens4,True,False,0.9711607944868326,-0.794486832544905,True
w29_ad194std_logit,0.9700399361886901,0.97116,2026-08-20,logit,True,False,0.9711611529582576,-1.1529582575331432,True
w29_ad194std_rescale,0.9700978808735925,0.97115,2026-08-20,rescale,True,False,0.9711562059256333,-6.2059256333846236,True
w29_ad194stdcorr,0.9701182875261917,0.97118,2026-08-20,h3,True,True,0.9711720685274357,7.931472564393083,True
w34_ad195stdcorr,0.9701247948837451,0.97117,2026-08-21,h3,True,True,0.9711841483283393,-14.148328339347316,False
w36_ad199std,0.9701323249566141,0.97117,2026-08-21,ens4,True,False,0.9711992298153559,-29.229815355913402,False
w36_ad199std_hybrid,0.9701231283130562,0.97114,2026-08-21,hybrid,True,False,0.9711724525713624,-32.45257136241797,False
w36_ad199std_rescale,0.970121937254448,0.97116,2026-08-21,rescale,True,False,0.9712008624991828,-40.862499182781065,False
w36_ad199stdcorr,0.9701400059625017,0.97118,2026-08-21,h3,True,True,0.9712123851051571,-32.38510515701787,False
