k,gh,zmin,zmax,in_hull,l1,wmin,wmax,cond,sd_gap,added,ols
33,892.1745568687868,1006.7382250917856,1063.118628792048,False,232.94763940395873,-24.135197146259276,27.68407048859817,399902624.4998123,555.2956657925337,w38_ad202std_rankraw,1037.835889020097
34,893.9437506420539,1006.7382250917856,1063.118628792048,False,232.55031491324303,-24.36042290177409,27.55349440825301,412721017.1278587,555.2924289999033,w23_ad187std,1038.0202085571184
35,895.1984887739038,1006.7382250917856,1063.118628792048,False,235.18617337877575,-25.096522882511728,27.5161054882808,424896524.9769104,554.8233117431954,w40_ad211std_rankraw,1037.9509978710764
36,899.1768530968674,1006.7382250917856,1076.0669325819983,False,244.87401789431843,-24.643855300312666,27.68267457191132,437043323.50578004,554.7767328866853,w21_ad187corr_ens4,1039.0097738352688
37,899.2423328006162,1006.7382250917856,1076.0669325819983,False,244.52831496810393,-24.597536943673127,27.622001491383145,449412479.4033605,554.7764721585163,w20_ad187_h3,1039.2847811955805
38,851.475596946661,1006.7382250917856,1076.0669325819983,False,252.6428465818738,-23.295847186995292,26.10023708562597,461770248.95263374,554.7156295495128,w22_ad187corr_rankraw,1040.0895107311196
39,811.7568409530646,1006.7382250917856,1076.0669325819983,False,287.4123312440086,-22.790579753089812,25.617617346530906,474107387.20610535,554.2039320545858,w27_ad190std_rescale,1040.3692304993504
40,775.5712741699948,1006.7382250917856,1076.0669325819983,False,304.4069251502583,-23.45808776368847,28.715427818375996,486622122.3805074,553.9967265828041,w27_ad188raw_rescale,1040.6357155444134
41,762.8004797029554,1006.7382250917856,1076.0669325819983,False,298.2174947846053,-23.653055117442367,28.91333791472478,501985322.1401617,553.991229014465,w20_ad187,1041.1594911444777
42,795.399942361528,1006.7382250917856,1076.0669325819983,False,290.613633514767,-24.960949297789544,29.30969131390562,514546834.20495784,553.9151421993573,w29_ad194std_rescale,1041.4204348412152
43,835.5897742603495,1006.7382250917856,1076.0669325819983,False,298.07986618969994,-26.415086206629258,30.32606002004641,527734448.4487056,553.8060564937566,w23_ad187std_h3_hybrid,1040.973517779821
44,704.6291939388933,1006.7382250917856,1076.0669325819983,False,311.99962268944256,-27.642024004967567,30.72219535114329,540047844.2740362,552.8832744997582,w23_ad187std_h3_rescale,1041.0944864864143
45,-3227.8168826387614,1006.7382250917856,1076.0669325819983,False,1262.6054197420074,-167.01845456972924,441.9836442076785,552363105.2250662,529.0044690999808,w23_ad187std_h3_rankraw,1041.252581886049
46,-3235.6119437225598,1006.7382250917856,1076.0669325819983,False,1267.4821203161803,-167.13930200783642,441.3197240973005,572699113.7280207,529.0006170247692,w20_ad187_rankraw,1041.4094828215273
47,-3238.423633183334,1006.7382250917856,1076.0669325819983,False,1269.8479181545488,-166.3925452201685,440.2881819382639,585189287.1116505,528.9515643957147,w20_ad187_rescale,1042.0635986584477
48,-4371.559278264875,1006.7382250917856,1076.0669325819983,False,1480.2666299533175,-123.91464229806442,335.8686849219471,598925661.3592956,517.0592155088945,w20_ad187_hybrid,1042.2842119127488
49,-4379.0795577257595,1006.7382250917856,1076.0669325819983,False,1480.5491622130214,-123.9161721605451,335.824675615567,611419170.9936408,517.0521866528582,w16n_finegrid,1041.7131774845188
50,-4421.234351088387,1006.7382250917856,1076.0669325819983,False,1483.7170520604227,-124.00409985854795,334.8822945326541,740065851.6420944,517.0416859789996,w16i_schemeavg,1041.165588794719
51,-4424.300568542941,1006.7382250917856,1076.0669325819983,False,1487.1142535076515,-124.12421086534714,333.2578853632893,757155642.4799689,517.0283566526796,w16e_aonly,1040.8597838680114
52,-4442.195531191831,1006.7382250917856,1076.0669325819983,False,1489.5192045396752,-124.58568740634279,329.72818134633064,772020508.9286973,516.9127678307873,w16q_ens4avg,1040.621766460771
53,-4455.760601348112,1006.7382250917856,1076.0669325819983,False,1488.6043936345054,-124.62151574986198,329.2717086802307,800624268.6826116,516.9106717239316,w16t_cellens4,1040.3954564666642
54,-4451.879976966595,1000.5395947928487,1076.0669325819983,False,1487.6736403037153,-124.53143187342928,329.56748073527007,815827594.2359669,516.9056948885404,blendtop3,1039.657384954186
55,-4453.566137857182,1000.5395947928487,1076.0669325819983,False,1490.1354034674278,-124.52742616427452,329.616587290017,831517662.2637205,516.9026503119748,blend159av_wh3,1038.9498521063058
56,-4416.075169428043,1000.5395947928487,1076.0669325819983,False,1514.8003586482678,-124.67083358138467,325.8839379184498,847468866.646561,516.8087386104137,blend159av_h3,1038.2691026353054
