group,member,F_obs,F_null_med,F_null_max,log10_ratio,exceeds_null_max
ctl_beicicc,bei_exact_value_catboost_fixed4000,1.3041948014590274,0.3570645881780326,1.6076260073805821,0.5625956835258474,False
ctl_beicicc,bei_identity_digit_enhanced103,1.9047760516355363,0.380679686390592,1.8065189720837733,0.6992842192728507,True
ctl_beicicc,bei_identity_digit_raw12,1.3007279939649543,0.38040224472227724,1.8720198368115302,0.5339434161208623,False
ctl_beicicc,bei_lookup_fixed24,25.58404907989712,0.34534201269395526,1.5118269941476654,1.8697198637454921,True
ctl_beicicc,bei_lookup_fixed24_seed1042,22.61972646586953,0.33305480567211887,1.4934244351741044,1.831971644312586,True
ctl_beicicc,bei_raw12,4.948391156044472,0.3641222008062447,2.1126999969381446,1.133216863035261,True
ctl_beicicc,bei_realmlp_seed01_fixed4,0.15981783608604785,0.26647659491856623,1.1413802583917103,-0.22203382415662723,False
ctl_beicicc,bei_screen_relations,3.013665101723436,0.3626470943914568,1.471947286476746,0.9196107868538246,True
ctl_beicicc,bei_structural,2.6612535036114875,0.37292654117573065,2.0474569884622134,0.8534629530147707,True
ctl_beicicc,bei_xgb_identity_digit_enhanced103,0.885799364807348,0.3633337385578613,1.8868277377308504,0.38702963693521253,False
ctl_beicicc,bei_xgb_identity_digit_raw12,1.6298732789201789,0.3788945458694915,2.081455090127401,0.6336354860226046,False
ctl_beicicc,bei_xgb_screen_relations_treatment110,0.8528443680184531,0.35695804035852513,1.7962816336688319,0.37825261708420355,False
adarsh,catnative,5.227312270395669,0.34861915336032956,1.5798489358246026,1.1759272010100397,True
adarsh,gcatd8,3.4699866329763753,0.34709034583097026,1.7330026184682437,0.9998852676875121,True
adarsh,gcatlr02,10.643296110602012,0.3493636891727825,1.634949816623178,1.4837983800138776,True
adarsh,gcatnote,5.293781605264223,0.320135727200496,1.682008282504388,1.2184318763490953,True
adarsh,gcatseed7,16.912650291714847,0.34581943703446577,1.6221776025163417,1.6893622694522008,True
adarsh,glgb127,50.5632689144938,0.36647297637496834,1.5831937749085614,2.1397931879209278,True
adarsh,glgbcs3,24.180669425873685,0.3815883664817442,1.7600562372427946,1.8018731939876491,True
adarsh,glgbd4,15.09981001566859,0.3967619464424954,1.6664851304916146,1.580441470911643,True
adarsh,glgbnote2,32.94920075012313,0.37362960455888294,1.9121751128708961,1.945403604097216,True
adarsh,gnn_note,6.453920135138726,0.39835826451907275,2.200243424699796,1.2095497552054575,True
adarsh,gnn_te,238.4354115196865,0.35502564385100993,1.3519843389638735,2.827111031916437,True
adarsh,gnn_wide,138.8283851362344,0.3723409030109325,1.390982797033914,2.5715375242605663,True
adarsh,gxgbcs4,8.842605107129403,0.3797364017187539,1.754161240421578,1.3670979999158885,True
adarsh,gxgbd4,5.910527808909039,0.3924870329410562,1.7347672771411335,1.177800952003126,True
adarsh,gxgbd8,1.2939267835233186,0.3721252906285306,1.7247558079037868,0.5412205157616128,False
adarsh,gxgbnote,1.02583054130595,0.3563342886749339,1.8954427416605424,0.45921801001007356,False
adarsh,hgbte,23.348017686458373,0.3614147262725972,1.5176578393327582,1.810244169192241,True
adarsh,lgbnote,28.92799338377461,0.3612879592687932,1.890479502802241,1.90346482149427,True
adarsh,lgbs7,14.729995960784048,0.38049160302243434,1.6853713843588882,1.5878575508796948,True
adarsh,lgbte,6.741815254847359,0.3716882863639335,1.6228862469405687,1.2585979727672247,True
adarsh,logregte,2.249735773474424,0.3290791335144169,1.396420257862162,0.8348311690617802,True
adarsh,xgbte,19.527035726293338,0.3826297803789679,1.6379456405984556,1.7078575523488349,True
catstr,cat_str,0.046551789582635936,0.3522607282175789,1.5549197166484914,-0.8789278474174479,False
