stem,cv,why,in_table,table_cv,public
w20_ad187_hybrid,0.9700773469651351,ok,True,0.9700773469651351,0.97113
w20_ad187_logit,0.970024799820357,ok,True,0.970024799820357,0.97116
w20_ad187_rankraw,0.9700915299750819,ok,True,0.9700915299750819,0.97114
w20_ad187_rescale,0.9700778470728432,ok,True,0.9700778470728432,0.97115
w21_ad187corr,0.970106881371208,ok,True,0.970106881371208,0.97117
w21_ad187corr_ens4,0.9701039330674182,ok,True,0.9701039330674182,0.97118
w22_ad187corr_rankraw,0.9701001354964539,ok,True,0.9701001354964539,0.97117
w23_ad187std,0.9701058972467212,ok,True,0.9701058972467212,0.97115
w23_ad187std_h3,0.9701092750631358,ok,True,0.9701092750631358,0.97114
w23_ad187std_h3_hybrid,0.9700977969987988,ok,True,0.9700977969987988,0.97112
w23_ad187std_h3_rankraw,0.97009179122053,ok,True,0.97009179122053,0.97114
w23_ad187std_h3_rescale,0.9700937038591301,ok,True,0.9700937038591301,0.97114
w23_ad187std_logit,0.9700298054694743,ok,True,0.9700298054694743,0.97114
w23_ad187stdcorr,0.9701150808744374,ok,True,0.9701150808744374,0.97116
w27_ad188raw,0.9701113750689625,ok,True,0.9701113750689625,0.97116
w27_ad188raw_h3,0.9701136018891743,ok,True,0.9701136018891743,0.97115
w27_ad188raw_hybrid,0.9701001699770166,ok,True,0.9701001699770166,0.97113
w27_ad188raw_logit,0.9700387329362935,ok,True,0.9700387329362935,0.97116
w27_ad188raw_rankraw,0.9700976053842976,ok,True,0.9700976053842976,0.97115
w27_ad188raw_rescale,0.9700989713676981,ok,True,0.9700989713676981,0.97115
w27_ad188std,0.9701093456480703,ok,True,0.9701093456480703,0.97116
w27_ad188std_h3,0.970111472035714,ok,True,0.970111472035714,0.97115
w27_ad188std_hybrid,0.9700993120985821,ok,True,0.9700993120985821,0.97113
w27_ad188std_logit,0.9700372515102429,ok,True,0.9700372515102429,0.97115
w27_ad188std_rankraw,0.9700930486776909,ok,True,0.9700930486776909,0.97115
w27_ad188std_rescale,0.970096268573635,ok,True,0.970096268573635,0.97114
w27_ad188stdcorr,0.9701168076021643,ok,True,0.9701168076021643,0.97117
w27_ad190std,0.970110933814171,ok,True,0.970110933814171,0.97117
w27_ad190std_h3,0.9701133391214054,ok,True,0.9701133391214054,0.97116
w27_ad190std_hybrid,0.9701027988573375,ok,True,0.9701027988573375,0.97114
w27_ad190std_logit,0.9700395047477925,ok,True,0.9700395047477925,0.97116
w27_ad190std_rankraw,0.9700951828849882,ok,True,0.9700951828849882,0.97115
w27_ad190std_rescale,0.970099001418308,ok,True,0.970099001418308,0.97115
w27_ad190stdcorr,0.9701181344162544,ok,True,0.9701181344162544,0.97118
w29_ad194std,0.9701116199443892,ok,True,0.9701116199443892,0.97116
w29_ad194std_h3,0.9701140063799218,ok,True,0.9701140063799218,0.97115
w29_ad194std_hybrid,0.9701056245229753,ok,True,0.9701056245229753,0.97114
w29_ad194std_logit,0.9700399361886902,ok,True,0.9700399361886902,0.97116
w29_ad194std_rankraw,0.9700930067276081,ok,True,0.9700930067276081,0.97114
w29_ad194std_rescale,0.9700978808735926,ok,True,0.9700978808735926,0.97115
w29_ad194stdcorr,0.9701182875261917,ok,True,0.9701182875261917,0.97118
w29_ad194stdcorr_rankraw,0.9701005595540964,ok,True,0.9701005595540964,0.97116
w34_ad195std,0.9701181648626676,ok,True,0.9701181648626676,0.97116
w34_ad195std_h3,0.9701205752646017,ok,True,0.9701205752646017,0.97115
w34_ad195std_hybrid,0.9701108333105612,ok,True,0.9701108333105612,0.97113
w34_ad195std_logit,0.9700443435657891,ok,True,0.9700443435657891,0.97115
w34_ad195std_rankraw,0.9700978115521841,ok,True,0.9700978115521841,0.97113
w34_ad195std_rescale,0.9701055638940178,ok,True,0.9701055638940178,0.97115
w34_ad195std_w,0.9701195043323168,ok,True,0.9701195043323168,0.97115
w34_ad195std_wh3,0.9701196117472624,ok,True,0.9701196117472624,0.97115
w34_ad195stdcorr,0.9701247948837451,ok,True,0.9701247948837451,0.97117
w34_ad196std,0.970118550552755,ok,True,0.970118550552755,0.97116
w34_ad196std_h3,0.9701199172668695,ok,True,0.9701199172668695,0.97115
w34_ad196std_hybrid,0.9701091249775423,ok,True,0.9701091249775423,0.97113
w34_ad196std_rankraw,0.9700979782970403,ok,True,0.9700979782970403,0.97113
w34_ad196std_rescale,0.9701039146473381,ok,True,0.9701039146473381,0.97115
w36_ad197std,0.9701210588551309,ok,True,0.9701210588551309,0.97116
w36_ad197std_h3,0.9701244431160363,ok,True,0.9701244431160363,0.97115
w36_ad197std_hybrid,0.9701124257188621,ok,True,0.9701124257188621,0.97114
w36_ad197std_logit,0.9700458725948065,ok,True,0.9700458725948065,0.97116
w36_ad197std_rankraw,0.9701011303330037,ok,True,0.9701011303330037,0.97114
w36_ad197std_rescale,0.9701085984575708,ok,True,0.9701085984575708,0.97115
w36_ad197stdcorr,0.9701286299342438,ok,True,0.9701286299342438,0.97117
w36_ad199std,0.9701323249566141,ok,True,0.9701323249566141,0.97117
w36_ad199std_h3,0.9701354276135699,ok,True,0.9701354276135699,0.97116
w36_ad199std_hybrid,0.9701231283130562,ok,True,0.9701231283130562,0.97114
w36_ad199std_rankraw,0.9701111921519867,ok,True,0.9701111921519867,0.97114
w36_ad199std_rescale,0.970121937254448,ok,True,0.970121937254448,0.97116
w36_ad199stdcorr,0.9701400059625016,ok,True,0.9701400059625016,0.97118
w36_ad199stdcorr_ens4,0.9701365874696789,ok,False,,0.97119
w37_cal_dkv_xgb,,NO OOF ON DISK,False,,0.96595
w37_cal_dm_cat,,NO OOF ON DISK,False,,0.96813
w37_cal_mkt_realmlp,,NO OOF ON DISK,False,,0.96285
w37_cal_om_xgb2,,NO OOF ON DISK,False,,0.96993
w37_cal_omid_tabm,,NO OOF ON DISK,False,,0.96949
w37_cal_ram_hgb,,NO OOF ON DISK,False,,0.96945
w37_cal_ravi_realmlp1c,,NO OOF ON DISK,False,,0.96581
w38_ad202std,0.9701305726031559,ok,True,0.9701305726031559,0.97116
w38_ad202std_h3,0.9701330213726455,ok,True,0.9701330213726455,0.97115
w38_ad202std_hybrid,0.9701232617749084,ok,True,0.9701232617749084,0.97113
w38_ad202std_rankraw,0.9701067553636527,ok,True,0.9701067553636527,0.97114
w38_ad202std_rescale,0.970120035404027,ok,True,0.970120035404027,0.97115
w38_ad202stdcorr,0.9701375890907046,ok,True,0.9701375890907046,0.97117
w38_ad202stdcorr_ens4,0.9701349000888668,ok,False,,0.97119
w40_ad211std,0.9701309541017874,ok,True,0.9701309541017874,0.97117
w40_ad211std_h3,0.9701331846110895,ok,True,0.9701331846110895,0.97116
w40_ad211std_hybrid,0.9701194945387204,ok,True,0.9701194945387204,0.97113
w40_ad211std_rankraw,0.9701044021654542,ok,True,0.9701044021654542,0.97114
w40_ad211std_rescale,0.9701209816379527,ok,True,0.9701209816379527,0.97116
w40_ad211stdcorr,0.9701374732624001,ok,True,0.9701374732624001,0.97118
w69_ad208std,0.9701324885705639,ok,False,,0.97117
w69_ad208std_h3,0.9701342349514506,ok,False,,0.97115
w69_ad208std_hybrid,0.9701248767237036,ok,False,,0.97113
w69_ad208std_rankraw,0.9701073320136435,ok,False,,0.97114
w69_ad208std_rescale,0.9701192358913662,ok,False,,0.97115
w85_cal_ad_gnn_note,,NO OOF ON DISK,False,,0.94329
w85_cal_ad_logregte,,NO OOF ON DISK,False,,0.96011
w85_cal_bolt_cat_unique,,NO OOF ON DISK,False,,0.96058
w85_cal_bolt_dcnv2_cross,,NO OOF ON DISK,False,,0.94024
w85_cal_bolt_extratrees_support,,NO OOF ON DISK,False,,0.94498
w85_cal_bolt_fttransformer,,NO OOF ON DISK,False,,0.94275
w85_cal_bolt_gandalf_gflu,,NO OOF ON DISK,False,,0.94105
w85_cal_bolt_lgb_raw_d4,,NO OOF ON DISK,False,,0.96044
w85_cal_bolt_neural_5fold,,NO OOF ON DISK,False,,0.94153
w85_cal_bolt_tabm_missing,,NO OOF ON DISK,False,,0.94203
w85_cal_bolt_tabm_rank1,,NO OOF ON DISK,False,,0.94156
w85_cal_bolt_tabr_retrieval,,NO OOF ON DISK,False,,0.94104
w85_cal_golem_b,,NO OOF ON DISK,False,,0.94262
w85_cal_golem_c,,NO OOF ON DISK,False,,0.9359
w85_cal_golem_g,,NO OOF ON DISK,False,,0.94496
w85_cal_lat_encdrop_r400,,NO OOF ON DISK,False,,0.95299
w85_cal_lat_tedrop_r400,,NO OOF ON DISK,False,,0.95131
w85_cal_mkt_mlp,,NO OOF ON DISK,False,,0.94449
w85_cal_mkt_nn,,NO OOF ON DISK,False,,0.94231
w85_cal_poly2_raw,,NO OOF ON DISK,False,,0.93621
w85_cal_qda_lat,,NO OOF ON DISK,False,,0.93232
w85_cal_rff_raw,,NO OOF ON DISK,False,,0.93525
