member,solo,fold_sd,fold_min,fold_max,maxcorr,nearest
rmlp_lat3,0.9669280732219446,0.0004381182137057242,0.9662279338595801,0.9675569207631721,0.966100016454,bolt_realmlp_lattice
imp_cat,0.966917342332884,0.0004769265783031018,0.9662954466133439,0.9677003532693921,0.9962216646760117,dm_cat
rmlp_lat,0.9667813497495822,0.00047213512893886977,0.9660536839373757,0.9674813966864202,0.9614646050150298,bolt_realmlp_lattice
imp_lgbm_tuned,0.966744889195543,0.0004580704161919653,0.9661406794380559,0.967514044816123,0.9950303398728987,dm_lgb
imp_xgb_tuned,0.9666735494132711,0.00043239622392728035,0.9661254825224936,0.9674300224016259,0.9951799456657707,dm_lgb
digit_cat,0.9666628159159676,0.0005256845393186424,0.9659583321819222,0.9675250507914591,0.9972621225260387,dm_cat
fmdeep,0.9666559279782497,0.0004293959398163762,0.9660523958030056,0.9671810254189215,1.0,fmdeep
imp_xgb,0.9666153662568377,0.0004537916166859149,0.9659915586654355,0.9673891448769457,0.995146499527899,dm_lgb
imp_lgbm,0.9663186575016067,0.0005091876590107869,0.9655947724305314,0.9671412791030438,0.9957291793525416,dm_lgb
digit_xgb,0.9663175270719557,0.00046474090109547807,0.9656943659969893,0.9671162905141141,0.9959916030041821,dm_lgb
pub_cat,0.966239143232908,0.0005261212568258419,0.9655115356587519,0.9670811408360909,0.9967243462676341,dm_cat
tabm_div,0.9661550827463925,0.00045072642892220416,0.9654723545032661,0.9668103177523155,0.9911188219204787,ad_glgbcs3
pub_resnet,0.9661023627979219,0.000526993231282338,0.9652869399041207,0.966887618881092,0.9829895935070937,om_cat
lookup_fixed24_seed1042,0.9660576049569232,0.00025857614609630026,0.9655969155999276,0.966342448928983,1.0,bei_lookup_fixed24_seed1042
lookup_fixed24,0.9660513504365333,0.00040503117624009465,0.9654252552667426,0.9665866451564211,1.0,bei_lookup_fixed24
xgb_screen_relations_treatment110,0.9660285503913961,0.0005341506688695363,0.9652755954668485,0.9669003268074536,0.9999999999999999,bei_xgb_screen_relations_treatment110
digit_lgbm,0.9659097200807591,0.0005246213244404072,0.9651893804076344,0.9667546151381357,0.9965235347433391,dm_lgb
pub_evg,0.9658738306557609,0.0005274978012001978,0.9650935973288737,0.966705914677265,0.994882813496659,dm_lgb
xgb_screen_relations_baseline103,0.9658487549137698,0.0005468219701507231,0.9650185134556145,0.9666965893405084,1.0,bei_xgb_identity_digit_enhanced103
identity_digit_enhanced103,0.9657459768249456,0.0005097419369178333,0.964969111460071,0.9665258252717832,1.0,bei_identity_digit_enhanced103
xgb_tuned,0.9655842290879434,0.0004808628267180693,0.9649270864885348,0.9664068184775774,0.9951403569348138,golem_e
lgbm_tuned,0.9655459511976516,0.00055082016057867,0.9647447764023211,0.9664572507015254,0.9948877038177751,bolt_lgb_driver_recon
pubfe_xgb,0.9652509542108098,0.000525192592194,0.9647158291534522,0.9662506803284722,0.9949166114240445,golem_e
fmwide,0.9649296734139725,0.00038641218266379564,0.9645211243577139,0.965452912605204,0.9999999999999999,fmwide
e,0.9648629346733592,0.0005163951969358687,0.9641706906625725,0.9657635617996692,0.9999999999999999,golem_e
pubfe_lgb,0.9648550389086218,0.0005544608255311269,0.9640515501581415,0.9657447413877487,0.9955717656895237,golem_f
a,0.964792297584154,0.0005317470165115156,0.9641329082631994,0.9657346925695747,1.0,golem_a
altview,0.9647341629694519,0.000597793970800035,0.9639603951784647,0.9657832534846695,0.9958581895480442,golem_a
view_bounds_lgbm,0.9646927741864496,0.0005617398028799625,0.9638704185994345,0.9656359208008761,0.9921600886134806,golem_a
fmpure,0.9645492323185924,0.0003493139000806693,0.9641226091506476,0.9650939572301154,1.0,fmpure
lgbm,0.9644940495293155,0.0005962515291847542,0.9636479951919528,0.9654538526362939,0.995818358228684,golem_f
xgb,0.9643340922088619,0.0005454606535000958,0.963657155230395,0.9652891519583864,0.9953989233845545,golem_e
view_nolattice_lgbm,0.9642499514351548,0.0005677397111293411,0.9633948846534977,0.9651616932571206,0.9931018438926726,golem_a
f,0.9640479661295521,0.0005366236081260817,0.9632635856524823,0.9649089969158999,1.0,golem_f
hgb,0.963855980380018,0.0006873289957404006,0.9627940162735822,0.9648007799279376,0.9948665528909894,bei_structural
pubmk_cat,0.9638316005364693,0.0005382957512671433,0.9631117698703523,0.9647769424647983,0.99494179565651,bolt_cat_cpu5
structural,0.9637240796119662,0.0005480551842344727,0.9629847810577712,0.9646188520702899,1.0,bei_structural
