stem,true_cv,n_src,reg_spread,reg_cv,have_oof,cv_w25a,cv_w46c,cv_w23b,cv_w45b,err6
blend158_rankraw,0.9700364199222861,2,0.0,0.970036419922286,True,0.970036419922286,0.970036419922286,,,-1.1102230246251565e-10
blend158_rescale,0.9700273730091135,2,0.0,0.9700273730091136,True,0.9700273730091136,0.9700273730091136,,,1.1102230246251565e-10
blend159,0.9700433779222748,2,0.0,0.9700433779222748,True,0.9700433779222748,0.9700433779222748,,,0.0
blend159_h3,0.9700469365091934,2,0.0,0.9700469365091934,True,0.9700469365091934,0.9700469365091934,,,0.0
blend159_hybrid,0.9700244514017536,2,0.0,0.9700244514017536,True,,,0.9700244514017536,0.9700244514017536,0.0
blend159_logit,0.9699646622223983,1,0.0,0.9699646622223984,True,0.9699646622223984,,,,1.1102230246251565e-10
blend159_rankraw,0.9700325394457388,2,1.1102230246251565e-10,0.9700325394457388,True,,,0.9700325394457388,0.9700325394457389,0.0
blend159_rescale,0.9700258921564706,2,0.0,0.9700258921564706,True,0.9700258921564706,0.9700258921564706,,,0.0
blend159av,0.9700448767129297,2,0.0,0.9700448767129296,True,0.9700448767129296,0.9700448767129296,,,-1.1102230246251565e-10
blend159av_h3,0.9700491721182697,2,0.0,0.9700491721182696,True,0.9700491721182696,0.9700491721182696,,,-1.1102230246251565e-10
blend159av_hybrid,0.9700291725494377,2,0.0,0.9700291725494375,True,0.9700291725494375,0.9700291725494375,,,-1.1102230246251565e-10
blend159av_logit,0.9699647645223465,1,0.0,0.9699647645223464,True,0.9699647645223464,,,,-1.1102230246251565e-10
blend159av_rankraw,0.9700338606526145,2,0.0,0.9700338606526144,True,0.9700338606526144,0.9700338606526144,,,-1.1102230246251565e-10
blend159av_rescale,0.9700286702343647,2,2.220446049250313e-10,0.9700286702343648,True,0.9700286702343648,0.9700286702343646,,,1.1102230246251565e-10
blend159av_w,0.9700481784285347,2,0.0,0.9700481784285347,True,0.9700481784285347,0.9700481784285347,,,0.0
blend159av_wh3,0.9700492569216793,2,0.0,0.9700492569216792,True,0.9700492569216792,0.9700492569216792,,,-1.1102230246251565e-10
blend160orig,0.9700423076141413,2,0.0,0.9700423076141412,True,0.9700423076141412,0.9700423076141412,,,-1.1102230246251565e-10
blend160orig_h3,0.9700463311228631,2,2.220446049250313e-10,0.9700463311228632,True,0.9700463311228632,0.970046331122863,,,1.1102230246251565e-10
blend160orig_hybrid,0.9700254919891138,2,1.1102230246251565e-10,0.9700254919891136,True,,,0.9700254919891136,0.9700254919891137,-2.220446049250313e-10
blend160orig_logit,0.969961779850316,2,0.0,0.969961779850316,True,,,0.969961779850316,0.969961779850316,0.0
blend160orig_rankraw,0.9700342765404693,2,1.1102230246251565e-10,0.9700342765404696,True,,,0.9700342765404696,0.9700342765404695,3.3306690738754696e-10
blend160orig_rescale,0.9700233486631156,2,0.0,0.9700233486631156,True,0.9700233486631156,0.9700233486631156,,,0.0
blend160origm,0.9700442444424164,2,0.0,0.9700442444424164,True,0.9700442444424164,0.9700442444424164,,,0.0
blend160origm_h3,0.9700486549808679,2,0.0,0.970048654980868,True,0.970048654980868,0.970048654980868,,,1.1102230246251565e-10
blend160origm_hybrid,0.9700273084068993,2,1.1102230246251565e-10,0.9700273084068992,True,,,0.9700273084068992,0.9700273084068993,-1.1102230246251565e-10
blend160origm_logit,0.9699635759958649,2,1.1102230246251565e-10,0.9699635759958648,True,,,0.9699635759958648,0.9699635759958649,-1.1102230246251565e-10
blend160origm_rankraw,0.9700331270767358,2,0.0,0.970033127076736,True,,,0.970033127076736,0.970033127076736,1.1102230246251565e-10
blend160origm_rescale,0.9700270088294171,2,0.0,0.9700270088294172,True,0.9700270088294172,0.9700270088294172,,,1.1102230246251565e-10
blendtop3,0.970049460405207,2,2.220446049250313e-10,0.970049460405207,True,0.970049460405207,0.9700494604052072,,,0.0
stack_pub149_hybrid,0.9700183101166489,2,0.0,0.9700183101166489,True,0.9700183101166489,0.9700183101166489,,,0.0
stack_pub151_fixed_rankraw,0.9700245019225018,2,2.220446049250313e-10,0.9700245019225018,True,0.9700245019225018,0.970024501922502,,,0.0
stack_pub151_hybrid,0.9700242945519818,2,2.220446049250313e-10,0.9700242945519818,True,0.9700242945519818,0.970024294551982,,,0.0
stack_pub151_rankraw,0.970023065836235,2,0.0,0.970023065836235,True,0.970023065836235,0.970023065836235,,,0.0
stack_pub74_logit,0.9696413515631959,1,0.0,0.969641351563196,True,0.969641351563196,,,,1.1102230246251565e-10
stack_pub86_hybrid,0.9696778003750686,1,0.0,0.9696778003750686,True,0.9696778003750686,,,,0.0
stack_pub88_mine_logit,0.9696599465172034,1,0.0,0.9696599465172034,True,0.9696599465172034,,,,0.0
w14a_repro159av,0.9700436164293267,2,0.0,0.9700436164293268,True,0.9700436164293268,0.9700436164293268,,,1.1102230246251565e-10
w14a_repro159av_h3,0.9700472004643722,2,0.0,0.9700472004643722,True,0.9700472004643722,0.9700472004643722,,,0.0
w14a_repro159av_hybrid,0.9700258630141787,2,0.0,0.9700258630141788,True,,,0.9700258630141788,0.9700258630141788,1.1102230246251565e-10
w14a_repro159av_logit,0.969964869765448,1,0.0,0.969964869765448,True,0.969964869765448,,,,0.0
w14a_repro159av_rankraw,0.9700313094207962,2,0.0,0.9700313094207962,True,,,0.9700313094207962,0.9700313094207962,0.0
w14a_repro159av_rescale,0.9700271740621013,2,0.0,0.9700271740621011,True,0.9700271740621011,0.9700271740621011,,,-1.1102230246251565e-10
w16e_aonly,0.9700544304624675,2,2.220446049250313e-10,0.9700544304624676,True,0.9700544304624676,0.9700544304624674,,,1.1102230246251565e-10
w16h_h3av6,0.9700487290113216,2,1.1102230246251565e-10,0.9700487290113216,True,0.9700487290113216,0.9700487290113214,,,0.0
w16i_schemeavg,0.9700556662570055,2,0.0,0.9700556662570056,True,0.9700556662570056,0.9700556662570056,,,1.1102230246251565e-10
w16l_maskw_h3,0.970045740213802,2,0.0,0.970045740213802,True,0.970045740213802,0.970045740213802,,,0.0
w16m_widegrid,0.9700556662570055,1,0.0,0.9700556662570055,True,,,,0.9700556662570055,0.0
w16n_finegrid,0.9700556964750705,2,0.0,0.9700556964750704,True,0.9700556964750704,0.9700556964750704,,,-1.1102230246251565e-10
