a,b,kind_a,kind_b,auc_a,auc_b,deficit,rho,sd_gap,mean_gap,law_rho,law_if,law_if_fpc,r_rho,r_if,r_if_fpc
REF:blend159av_h3,OURS:blend159_rankraw,ours,ours,0.9700491721182697,0.9700325394457389,1.6632672530825232e-05,0.9993929379040314,1.6842491070876626e-05,1.653611727791818e-05,1.9245907135775127e-05,1.7080264809121187e-05,1.6331859507604863e-05,0.875120666023015,0.9860790367771356,1.0312659781964197
REF:blend159av_h3,OURS:blend156,ours,ours,0.9700491721182697,0.9700416046775031,7.567440766576006e-06,0.9995854833030878,9.16879089302934e-06,8.39179536736258e-06,1.5904732631213253e-05,9.616339533339164e-06,9.194980756507508e-06,0.5764819255770113,0.953459563406824,0.9971517217739001
REF:blend159av_h3,OURS:blend160orig_h3,ours,ours,0.9700491721182697,0.970046331122863,2.84099540670546e-06,0.999955428659123,5.575035662070643e-06,3.1145789129004087e-06,5.215335522518711e-06,5.6286599571572215e-06,5.382029181847488e-06,1.0689697025241853,0.9904729908193528,1.0358612846013782
REF:blend159av_h3,OURS:w16h_h3av6,ours,ours,0.9700491721182697,0.9700487290113214,4.431069482446759e-07,0.999985448921214,3.4941302724592166e-06,6.28679989452977e-07,2.9798168115838064e-06,3.3941386815596112e-06,3.2454178384258246e-06,1.1725990198041896,1.0294600781761984,1.0766349500790409
REF:blend159av_h3,OURS:w16n_finegrid,ours,ours,0.9700491721182697,0.9700556964750705,6.524356800818865e-06,0.9999733485766635,7.83388759634431e-06,-6.442010144677157e-06,4.033392403003905e-06,7.912308828934165e-06,7.5656154994697116e-06,1.9422577358230635,0.9900887042852675,1.0354593881877028
REF:blend159av_h3,SYN:iv16s0a,ours,synth,0.9700491721182697,0.9691870409336699,0.0008621311845997681,0.9945894703260103,9.099675746364172e-05,0.0008667348110990902,5.784828371575843e-05,9.659305611907987e-05,9.236064192076026e-05,1.5730243253328071,0.9420631370381424,0.9852330556744217
REF:blend159av_h3,SYN:iv16s0b,ours,synth,0.9700491721182697,0.9692906053011139,0.0007585668171558035,0.9957650577488524,9.05960588314437e-05,0.00076448098186509,5.1273453146931384e-05,9.199373204591499e-05,8.79628462523488e-05,1.7669193953414408,0.9848068647353747,1.0299355090391311
REF:blend159av_h3,SYN:rd16s0a,ours,synth,0.9700491721182697,0.9692899839659375,0.0007591881523322241,0.9955952883952465,8.911976052470332e-05,0.0007646004074777711,5.223575014386524e-05,9.135644044164978e-05,8.735347882962141e-05,1.7061066468702732,0.9755169979682489,1.020219935356289
REF:blend159av_h3,SYN:rd16s0b,ours,synth,0.9700491721182697,0.9692475740203867,0.0008015980978829385,0.9953477360880137,8.985580725624148e-05,0.0008067363363270473,5.366182492608106e-05,9.404890121747954e-05,8.99279641559324e-05,1.6744828820118862,0.9554158112752226,0.9991976144420905
REF:blend159av_h3,SYN:iv24s0a,ours,synth,0.9700491721182697,0.9691399966837544,0.0009091754345152969,0.9947778274637349,9.483223814739029e-05,0.000916516553756364,5.689255450207384e-05,9.918510059877274e-05,9.483911088789243e-05,1.6668655323594845,0.9561137466705729,0.9999275326346083
REF:blend159av_h3,SYN:iv24s0b,ours,synth,0.9700491721182697,0.9691464441379899,0.0009027279802797938,0.9955347969575058,9.813620794498767e-05,0.0009114039912235181,5.272650249477081e-05,9.95063471245239e-05,9.514628136706864e-05,1.8612311323839543,0.9862306353400591,1.0314245237434354
REF:blend159av_h3,SYN:rd24s0a,ours,synth,0.9700491721182697,0.9692243444524757,0.000824827665793948,0.9953651929920388,9.312346573836343e-05,0.0008317673001016409,5.357114493681172e-05,9.500508919113873e-05,9.084225487818888e-05,1.738313897308047,0.9801944983285085,1.0251117815518058
REF:blend159av_h3,SYN:rd24s0b,ours,synth,0.9700491721182697,0.9690397111971055,0.0010094609211641625,0.9950061337448572,0.00010130778877807063,0.0010185595088483324,5.580180910122704e-05,0.00010474978779192406,0.0001001599703978564,1.8154929098139752,0.967140754302141,1.0114598514322124
REF:blend159av_h3,SYN:iv40s0a,ours,synth,0.9700491721182697,0.9690568461491886,0.0009923259690810537,0.995211413923967,0.00010139037479805411,0.0009993658315773915,5.4542181250449315e-05,0.00010363071394782337,9.908993096903399e-05,1.858935093418525,0.978381513892713,1.0232157173440661
REF:blend159av_h3,SYN:iv40s0b,ours,synth,0.9700491721182697,0.9692238766636352,0.0008252954546345004,0.9957961139741609,9.390608269143237e-05,0.0008318750931890686,5.0965258029736044e-05,9.540534571776418e-05,9.12249733800916e-05,1.8425509125577701,0.984285335218353,1.0293900805009815
REF:blend159av_h3,SYN:rd40s0a,ours,synth,0.9700491721182697,0.9691779605091455,0.0008712116091241784,0.9957129392221492,9.591756909820637e-05,0.0008798188214973924,5.147925130550932e-05,9.790048712610762e-05,9.361078527399802e-05,1.8632277406089868,0.9797455754704569,1.0246422868631688
REF:blend159av_h3,SYN:rd40s0b,ours,synth,0.9700491721182697,0.9690843874366427,0.0009647846816269734,0.9955781069690457,0.0001002688906359141,0.0009699156567894419,5.240592907592148e-05,0.0001022352109960187,9.775557471601202e-05,1.9133119554211628,0.98076670120844,1.025710205553018
REF:blend159av_h3,SYN:iv86s0a,ours,synth,0.9700491721182697,0.9673277004087414,0.0027214717095283003,0.9923736388693402,0.0001706826792183071,0.002723768203462888,7.028979435476685e-05,0.00017300474480305716,0.0001654242026015719,2.428271142135329,0.9865780236987522,1.0317878311277122
REF:blend159av_h3,SYN:iv86s0b,ours,synth,0.9700491721182697,0.9671389428213523,0.0029102292969174215,0.9920151472353842,0.00017812328841801113,0.0029125684525142686,7.208455694726508e-05,0.00017904744980296597,0.00017120213463057125,2.4710325756502995,0.9948384554710394,1.0404267960932538
REF:blend159av_h3,SYN:rd86s0a,ours,synth,0.9700491721182697,0.9671813486261908,0.0028678234920789247,0.9922741082637196,0.0001760139111064037,0.00286986230190237,7.087984300994973e-05,0.00017758024663793283,0.00016979921984978648,2.483271740340845,0.9911795621349557,1.0366002344540515
REF:blend159av_h3,SYN:rd86s0b,ours,synth,0.9700491721182697,0.9672795553078654,0.0027696168104043295,0.9922762655101545,0.00017302467973664984,0.0027722943214873812,7.076985963486625e-05,0.0001746871732906847,0.000167032912185328,2.444892227134016,0.9904830244675811,1.0358717780402094
REF:blend159av_h3,STK:s0a,ours,stackhalf,0.9700491721182697,0.9699188896278209,0.00013028249044877427,0.9980375014469978,3.717524305013055e-05,0.00013208292653531565,3.4662020149237884e-05,4.2190981413598495e-05,4.034230081531809e-05,1.0725065328007988,0.881118234385244,0.9214953609194
REF:blend159av_h3,STK:s0b,ours,stackhalf,0.9700491721182697,0.9698489422056923,0.00020022991257739875,0.9978864672044828,4.748279360642083e-05,0.00020246598662617275,3.5940344384098934e-05,4.919348402846724e-05,4.703797504436163e-05,1.321155776888677,0.9652252639586075,1.0094565839970724
REF:blend159av_h3,STK:s1a,ours,stackhalf,0.9700491721182697,0.9699951526153978,5.4019502871871516e-05,0.9988341697303464,3.0290243792592667e-05,5.603772229715198e-05,2.6670875331099715e-05,3.1310523500159566e-05,2.9938591504804478e-05,1.1357048996915586,0.9674141600487229,1.0117457859609646
REF:blend159av_h3,STK:s1b,ours,stackhalf,0.9700491721182697,0.9697817311143507,0.00026744100391895564,0.9968700089388304,5.1455325867304245e-05,0.00026895944780202266,4.3891220334287596e-05,5.40738896314417e-05,5.1704536104079036e-05,1.1723375535108467,0.9515743405553931,0.9951801088346844
REF:blend159av_h3,STK:s2a,ours,stackhalf,0.9700491721182697,0.9698956376462755,0.0001535344719941767,0.9982427480451356,4.357082076928453e-05,0.0001552420976811851,3.279540207854154e-05,4.503769687428437e-05,4.306428185493409e-05,1.3285649209281531,0.9674300373508354,1.0117623908383464
REF:blend159av_h3,STK:s2b,ours,stackhalf,0.9700491721182697,0.9698705691099355,0.0001786030083341661,0.9984029756531578,4.3719107065787245e-05,0.00018160214198544966,3.1276764751221025e-05,4.613012649023655e-05,4.41088445247207e-05,1.3978142372951308,0.9477343851428719,0.9911641879733433
REF:blend159av_h3,STK:s3a,ours,stackhalf,0.9700491721182697,0.9698157168164734,0.0002334553017963037,0.9974235761951932,4.8434587354259655e-05,0.0002361837788195125,3.9728504783221614e-05,5.110928884984468e-05,4.8869835120091816e-05,1.2191394470681123,0.9476670179574773,0.9910937336955897
OURS:blend158_logit,OURS:blend150fx_hybrid,ours,ours,0.9699613898723587,0.9700142363358245,5.284646346581656e-05,0.9954532343181163,3.441974021652298e-05,-5.345528247568859e-05,5.2709485000413196e-05,3.527913718522788e-05,3.373331259776326e-05,0.6530084711746502,0.9756400797391171,1.0203486573330258
OURS:blend158_logit,OURS:blend156_h3,ours,ours,0.9699613898723587,0.9700461184445183,8.472857215957585e-05,0.9948318284454264,2.8227092473588217e-05,-8.580179861265326e-05,5.6196650945924586e-05,2.9839924690640278e-05,2.8532429866356453e-05,0.5022913643154613,0.9459505265588707,0.9892985843057037
OURS:blend158_logit,NAJI:18_blend,ours,foreign,0.9699613898723587,0.9698561724270612,0.00010521744529745636,0.9900429233709857,5.313667877664933e-05,0.00010831245277921342,7.809823349921781e-05,5.866298275233492e-05,5.609254910945821e-05,0.680382595045271,0.9057957213151485,0.9473036904234672
OURS:blend158_logit,NAJI:12_blend,ours,foreign,0.9699613898723587,0.9694997899300503,0.0004615999423084327,0.98940031162607,7.147728441791962e-05,0.0004649300688478088,8.086228316345059e-05,7.576477635004282e-05,7.244499407955423e-05,0.8839384892637691,0.9434104852060217,0.9866421458938635
OURS:blend158_logit,BOLT:rankavg_top12,ours,foreign,0.9699613898723587,0.969471849165358,0.0004895407070006907,0.9887390378737559,8.252246890960904e-05,0.0004888383880673119,8.327250321973923e-05,8.769002111899034e-05,8.38477108603997e-05,0.9909930135263136,0.9410702364597537,0.9841946555583718
OURS:blend158_logit,BOLT:rankavg_next12,ours,foreign,0.9699613898723587,0.968584989414142,0.0013764004582167422,0.9894133443183827,0.00012219001548197624,0.0013796316029942592,8.161442232571571e-05,0.00012432026845439538,0.00011887293206722671,1.4971620456287376,0.9828647975193153,1.0279044468497975
OURS:blend158_logit,OURS:stack_pub74_logit,ours,ours,0.9699613898723587,0.9696413515631959,0.00032003830916282894,0.9981523517675577,5.92252231941346e-05,0.00032257306889196954,3.373689414411475e-05,6.129483165024002e-05,5.860907838615169e-05,1.7555031278558335,0.9662351881816887,1.010512787864081
