a,b,fam,dcv,dlb,resid,sd0,var0,m,foreign
blend158,w29_ad194stdcorr,ens4,-75.06086677178115,-120.000000000009,-44.939133228227846,29.308358313511775,858.9798670331948,-12,False
blend158,w34_ad195std,ens4,-74.93820324766531,-99.99999999998899,-25.061796752323673,29.24267756873541,855.134191389021,-10,False
blend158,w34_ad195stdcorr,ens4,-81.5682243252569,-109.99999999994348,-28.431775674686577,30.657690360183306,939.8939782208763,-11,False
blend158,w34_ad196std,ens4,-75.3238933350886,-99.99999999998899,-24.676106664900388,29.551669426532758,873.3011658950709,-10,False
blend158,w36_ad197std,ens4,-77.83219571089184,-99.99999999998899,-22.16780428909715,29.79840668757138,887.9450411178987,-10,False
blend158,w36_ad197stdcorr,ens4,-85.40327482398081,-109.99999999994348,-24.596725175962675,31.135179554735632,969.3994059056276,-11,False
blend158,w36_ad199std,ens4,-89.09829719416784,-109.99999999994348,-20.901702805775642,30.963125788055525,958.715158566949,-11,False
blend158,w36_ad199stdcorr,ens4,-96.7793030818287,-120.000000000009,-23.220696918180295,32.12788553142699,1032.2010287204757,-12,False
blend158,w36_ad199stdcorr_ens4,ens4,-93.36081025912435,-129.99999999996348,-36.63918974083913,31.797697094169948,1011.093540492584,-13,False
blend158,w38_ad202std,ens4,-87.34594373616123,-99.99999999998899,-12.654056263827755,31.244090056134585,976.193163435848,-10,False
blend158,w38_ad202stdcorr,ens4,-94.36243128468914,-109.99999999994348,-15.637568715254346,32.49598846209974,1055.9892661289196,-11,False
blend158,w38_ad202stdcorr_ens4,ens4,-91.67342944682578,-129.99999999996348,-38.3265705531377,32.07107028772566,1028.5535494002397,-13,False
blend158,w40_ad211std,ens4,-87.72744236740238,-109.99999999994348,-22.27255763254111,31.301519714113915,979.785136413062,-11,False
blend158,w40_ad211stdcorr,ens4,-94.24660298029686,-120.000000000009,-25.75339701971214,32.76600191137678,1073.610881256347,-12,False
blend158_h3,blend159_h3,h3,1.3824244636806426,0.0,-1.3824244636806426,3.7552896618167093,14.102200444147456,0,False
blend158_h3,blend159av_h3,h3,-0.8531846126258458,0.0,0.8531846126258458,3.9965444550964446,15.972367581562139,0,False
blend158_h3,blend160orig_h3,h3,1.9878107940796141,0.0,-1.9878107940796141,5.023338980754066,25.233934515563305,0,False
blend158_h3,blend160origm_h3,h3,-0.3360472108360213,0.0,0.3360472108360213,4.876665881268414,23.781870117527433,0,False
blend158_h3,blendtop3,h3,-1.1414715500590589,0.0,1.1414715500590589,2.4809459285726025,6.155092700500973,0,False
blend158_h3,w14a_repro159av_h3,h3,1.1184692848553723,0.0,-1.1184692848553723,4.170468226688013,17.392805229814257,0,False
blend158_h3,w16e_aonly,h3,-6.111528810359701,-30.000000000085514,-23.888471189725813,9.346832382385784,87.36327558441553,-3,False
blend158_h3,w16h_h3av6,h3,-0.4100776643811699,0.0,0.4100776643811699,2.394540462582646,5.733824026945513,0,False
blend158_h3,w16i_schemeavg,h3,-7.347323348394497,-20.000000000020002,-12.652676651625505,8.378231847165576,70.19476888485951,-2,False
blend158_h3,w16l_maskw_h3,h3,2.5787198550952795,0.0,-2.5787198550952795,6.797541999478095,46.20657723466866,0,False
blend158_h3,w16n_finegrid,h3,-7.37754141344471,-20.000000000020002,-12.622458586575291,8.347828207831267,69.68623578746337,-2,False
blend158_h3,w20_ad187_h3,h3,-52.496020176096,-99.99999999998899,-47.50397982389298,25.78726751459103,664.9831658690819,-10,False
blend158_h3,w23_ad187std_h3,h3,-60.95612947887297,-90.0000000000345,-29.043870521161537,25.76043041046201,663.599774932256,-9,False
blend158_h3,w27_ad188std_h3,h3,-63.153102056956456,-99.99999999998899,-36.84689794303253,26.659948387718806,710.7528480358305,-10,False
blend158_h3,w29_ad194std_h3,h3,-65.68744626478384,-99.99999999998899,-34.31255373520514,27.398156040325027,750.6589544099988,-10,False
blend158_h3,w34_ad195std_h3,h3,-72.25633094476436,-99.99999999998899,-27.74366905522463,28.91075915230397,835.8319947625278,-10,False
blend158_h3,w34_ad196std_h3,h3,-71.59833321246367,-99.99999999998899,-28.401666787525315,29.143528774061085,849.3452694045263,-10,False
blend158_h3,w36_ad197std_h3,h3,-76.12418237923357,-99.99999999998899,-23.875817620755413,29.436457904678875,866.5050539739314,-10,False
blend158_h3,w36_ad199std_h3,h3,-87.10867991279514,-110.0000000000545,-22.89132008725936,30.554988365221156,933.6073139988002,-11,False
blend158_h3,w38_ad202std_h3,h3,-84.70243898828222,-99.99999999998899,-15.297561011706762,30.881902675930426,953.6919128856389,-10,False
blend158_h3,w40_ad211std_h3,h3,-84.8656774323775,-110.0000000000545,-25.134322567677003,31.10964407996083,967.809954781842,-11,False
blend158_hybrid,blend159av_hybrid,hybrid,-0.839224932214222,9.99999999995449,10.839224932168712,5.655493160968448,31.984602893760893,1,False
blend158_hybrid,stack_pub149_hybrid,hybrid,10.023207856590943,39.99999999992898,29.976792143338038,15.827583317736075,250.51239367987728,4,True
blend158_hybrid,stack_pub151_hybrid,hybrid,4.038772523529133,39.99999999992898,35.96122747639985,14.438563643416005,208.47212008497445,4,True
blend158_hybrid,stack_pub86_hybrid,hybrid,350.532949436988,229.99999999995248,-120.53294943703554,59.56715329313806,3548.2457514482085,23,True
blend158_hybrid,w20_ad187_hybrid,hybrid,-49.01364062970259,-100.00000000010002,-50.98635937039742,27.010197208737832,729.5507532549091,-10,False
blend158_hybrid,w23_ad187std_h3_hybrid,hybrid,-69.46367429327971,-90.0000000000345,-20.536325706754795,27.538791643933447,758.3850452079787,-9,False
blend158_hybrid,w34_ad195std_hybrid,hybrid,-82.4999860556952,-100.00000000010002,-17.500013944404813,31.328314027010116,981.4632597749587,-10,False
blend158_hybrid,w34_ad196std_hybrid,hybrid,-80.79165303676028,-100.00000000010002,-19.208346963339736,30.82479695130873,950.1681070894119,-10,False
blend158_hybrid,w36_ad197std_hybrid,hybrid,-84.092394356583,-110.0000000000545,-25.9076056434715,31.60474411585099,998.8598506284179,-11,False
blend158_hybrid,w36_ad199std_hybrid,hybrid,-94.79498855080593,-110.0000000000545,-15.205011449248573,32.947868693695554,1085.5620514570037,-11,False
blend158_hybrid,w38_ad202std_hybrid,hybrid,-94.92845040282027,-100.00000000010002,-5.071549597279741,32.56620314112566,1060.5575870290631,-10,False
blend158_hybrid,w40_ad211std_hybrid,hybrid,-91.16121421504087,-100.00000000010002,-8.838785785059144,34.000848960430055,1156.0577300299774,-10,False
blend158_logit,blend159_logit,logit,-3.2723500396070193,0.0,3.2723500396070193,4.5870698935191685,21.041210208029952,0,False
blend158_logit,blend159av_logit,logit,-3.374649987786249,0.0,3.374649987786249,3.9342839257031277,15.478590008046012,0,False
blend158_logit,stack_pub74_logit,logit,320.03830916282897,250.0000000000835,-70.03830916274546,58.60907838614924,3435.024069273786,25,True
blend158_logit,stack_pub88_mine_logit,logit,301.4433551552509,250.0000000000835,-51.44335515516741,56.64635221322991,3208.809219065297,25,True
blend158_logit,w14a_repro159av_logit,logit,-3.4798930892421254,0.0,3.4798930892421254,4.49765614146871,20.228910766891204,0,False
blend158_logit,w20_ad187_logit,logit,-63.40994799824973,-99.99999999998899,-36.59005200173926,27.75768681444227,770.4891772886622,-10,False
blend158_logit,w23_ad187std_logit,logit,-68.41559711556755,-79.99999999996899,-11.584402884401442,28.33530165220368,802.8893197213765,-8,False
blend158_logit,w27_ad188raw_logit,logit,-77.34306393469836,-99.99999999998899,-22.656936065290623,29.42544021523394,865.8565318603069,-10,False
blend158_logit,w27_ad190std_logit,logit,-78.11487543385454,-99.99999999998899,-21.88512456613445,30.225249682002744,913.5657183394069,-10,False
blend158_logit,w29_ad194std_logit,logit,-78.54631633141818,-99.99999999998899,-21.453683668570804,30.538942097184187,932.6269844151684,-10,False
blend158_rankraw,blend159av_rankraw,rankraw,2.559269671409403,20.000000000020002,17.4407303286106,7.343927049206738,53.933264504070394,2,False
blend158_rankraw,stack_pub151_fixed_rankraw,rankraw,11.917999784061273,10.000000000065512,-1.9179997839957608,14.797281064888196,218.95952691329876,1,True
blend158_rankraw,stack_pub151_rankraw,rankraw,13.354086050965108,20.000000000020002,6.6459139490548935,12.618959038832793,159.23812722373987,2,True
blend158_rankraw,w20_ad187_rankraw,rankraw,-55.110052796014664,-99.99999999998899,-44.88994720397432,25.951762221779564,673.4939624157851,-10,False
blend158_rankraw,w22_ad187corr_rankraw,rankraw,-63.71557416795515,-129.99999999996348,-66.28442583200834,27.132599856911682,736.1779749952839,-13,False
blend158_rankraw,w23_ad187std_h3_rankraw,rankraw,-55.371298244066836,-99.99999999998899,-44.62870175592215,26.078892724723733,680.1086457476486,-10,False
blend158_rankraw,w38_ad202std_rankraw,rankraw,-70.33544136680892,-99.99999999998899,-29.664558633180064,31.66200955113652,1002.4828488162602,-10,False
blend158_rankraw,w40_ad211std_rankraw,rankraw,-67.9822431683963,-99.99999999998899,-32.01775683159269,32.35347706618179,1046.747478271951,-10,False
blend158_rescale,blend159_rescale,rescale,1.4808526430654112,0.0,-1.4808526430654112,3.4408337646262583,11.83933699579211,0,False
blend158_rescale,blend159av_rescale,rescale,-1.2972252508847149,0.0,1.2972252508847149,4.983433982917927,24.83461426210124,0,False
blend158_rescale,blend160orig_rescale,rescale,4.024345998110412,0.0,-4.024345998110412,6.752240030318994,45.592745427042246,0,False
blend158_rescale,blend160origm_rescale,rescale,0.3641796966213917,0.0,-0.3641796966213917,5.9001113103723455,34.811313474783674,0,False
blend158_rescale,w14a_repro159av_rescale,rescale,0.19894701241973678,0.0,-0.19894701241973678,4.711477415638748,22.19801943807397,0,False
blend158_rescale,w20_ad187_rescale,rescale,-50.474063729488705,-99.99999999998899,-49.52593627050028,27.720631925739873,768.4334343623486,-10,False
blend158_rescale,w23_ad187std_h3_rescale,rescale,-66.33085001639394,-90.0000000000345,-23.669149983640565,28.405807483194227,806.8898987722932,-9,False
blend158_rescale,w27_ad188raw_rescale,rescale,-71.59835858439045,-99.99999999998899,-28.401641415598533,28.472168479497128,810.6643779248698,-10,False
blend158_rescale,w27_ad190std_rescale,rescale,-71.6284091941688,-99.99999999998899,-28.37159080582019,29.890834900591035,893.462011054391,-10,False
blend158_rescale,w29_ad194std_rescale,rescale,-70.5078644788193,-99.99999999998899,-29.492135521169686,29.34600474570938,861.1879945351975,-10,False
blend158_rescale,w36_ad199std_rescale,rescale,-94.5642453342721,-110.0000000000545,-15.435754665782397,32.44599453108545,1052.7425611112267,-11,False
blend158_rescale,w38_ad202std_rescale,rescale,-92.66239491323437,-99.99999999998899,-7.337605086754621,33.77550223252934,1140.7845510595944,-10,False
blend158_rescale,w40_ad211std_rescale,rescale,-93.60862883900367,-110.0000000000545,-16.391371161050827,32.7384434021659,1071.8056763968198,-11,False
blend159,blend159av,ens4,-1.4987906548080687,0.0,1.4987906548080687,3.8559703937700283,14.868507677630987,0,False
blend159,blend160orig,ens4,1.0703081336771447,0.0,-1.0703081336771447,4.488960201661568,20.150763692101464,0,False
blend159,blend160origm,ens4,-0.8665201416402368,0.0,0.8665201416402368,4.211276081797008,17.734846237115562,0,False
blend159,w14a_repro159av,ens4,-0.23850705188621646,0.0,0.23850705188621646,3.8589901336629513,14.891804851708002,0,False
blend159,w16q_ens4avg,ens4,-8.13919903364102,-20.000000000020002,-11.860800966378982,8.530472339480177,72.76895833463641,-2,False
blend159,w16t_cellens4,ens4,-7.994740952033119,-20.000000000020002,-12.005259047986883,10.836388195894557,117.4273091321229,-2,False
blend159,w20_ad187,ens4,-54.511562578074546,-99.99999999998899,-45.48843742191444,26.127263172583742,682.6338808894507,-10,False
blend159,w21_ad187corr,ens4,-63.50344893302218,-109.99999999994348,-46.496551066921306,27.81860406581439,773.874732170545,-11,False
blend159,w21_ad187corr_ens4,ens4,-60.55514514313742,-120.000000000009,-59.44485485687157,27.20275410763046,739.9898310402059,-12,False
blend159,w23_ad187std,ens4,-62.51932444623076,-89.99999999992347,-27.480675553692713,26.07072841396624,679.6828800347866,-9,False
blend159,w23_ad187stdcorr,ens4,-71.7029521624113,-99.99999999998899,-28.297047837577693,27.795539461233197,772.5920139409718,-10,False
blend159,w27_ad188std,ens4,-65.96772579547938,-99.99999999998899,-34.032274204509605,26.915003413792814,724.4174087644788,-10,False
blend159,w27_ad188stdcorr,ens4,-73.42967988932526,-109.99999999994348,-36.570320110618226,28.677756873003446,822.4137392670964,-11,False
blend159,w27_ad190std,ens4,-67.55589189610944,-109.99999999994348,-42.44410810383404,27.750428036652774,770.0862562174443,-11,False
blend159,w27_ad190stdcorr,ens4,-74.7564939794776,-120.000000000009,-45.2435060205314,29.202417670645637,852.7811978108366,-12,False
blend159,w29_ad194std,ens4,-68.2420221141955,-99.99999999998899,-31.75797788579348,27.82293531941337,774.1157297882601,-10,False
blend159,w29_ad194stdcorr,ens4,-74.90960391676182,-120.000000000009,-45.09039608324717,29.33032755049957,860.2681142195943,-12,False
blend159,w34_ad195std,ens4,-74.786940392646,-99.99999999998899,-25.213059607342984,29.270813428829612,856.7805187853519,-10,False
blend159,w34_ad195stdcorr,ens4,-81.41696147023758,-109.99999999994348,-28.583038529705902,30.714925787228992,943.4066661149845,-11,False
blend159,w34_ad196std,ens4,-75.17263048006929,-99.99999999998899,-24.8273695199197,29.532735108678754,872.1824429993867,-10,False
blend159,w36_ad197std,ens4,-77.68093285587253,-99.99999999998899,-22.31906714411646,29.75649802777968,885.4491748772562,-10,False
blend159,w36_ad197stdcorr,ens4,-85.25201196896148,-109.99999999994348,-24.747988030982,31.105147533136854,967.5302030582097,-11,False
blend159,w36_ad199std,ens4,-88.94703433914853,-109.99999999994348,-21.052965660794953,30.938792785152113,957.2088990025804,-11,False
blend159,w36_ad199stdcorr,ens4,-96.62804022680938,-120.000000000009,-23.37195977319962,32.1281269428771,1032.2165408576257,-12,False
blend159,w36_ad199stdcorr_ens4,ens4,-93.20954740410504,-129.99999999996348,-36.79045259585844,31.803293698408943,1011.449490067258,-13,False
blend159,w38_ad202std,ens4,-87.1946808811419,-99.99999999998899,-12.80531911884708,31.22139079785338,974.7752433522837,-10,False
blend159,w38_ad202stdcorr,ens4,-94.21116842966981,-109.99999999994348,-15.788831570273672,32.50178290407956,1056.3658919439185,-11,False
blend159,w38_ad202stdcorr_ens4,ens4,-91.52216659180645,-129.99999999996348,-38.477833408157025,32.07739468128894,1028.9592495391844,-13,False
blend159,w40_ad211std,ens4,-87.57617951238306,-109.99999999994348,-22.42382048756042,31.302644974154045,979.8555823779316,-11,False
blend159,w40_ad211stdcorr,ens4,-94.09534012527754,-120.000000000009,-25.90465987473145,32.78078775646163,1074.5800459341845,-12,False
blend159_h3,blend159av_h3,h3,-2.2356090763064884,0.0,2.2356090763064884,4.7500162321956125,22.562654206121806,0,False
blend159_h3,blend160orig_h3,h3,0.6053863303989715,0.0,-0.6053863303989715,5.496691441361997,30.21361680154223,0,False
blend159_h3,blend160origm_h3,h3,-1.718471674516664,0.0,1.718471674516664,4.9545239650713215,24.54730772046605,0,False
blend159_h3,blendtop3,h3,-2.5238960137397015,0.0,2.5238960137397015,3.647858010719572,13.306868066370953,0,False
blend159_h3,w14a_repro159av_h3,h3,-0.2639551788252703,0.0,0.2639551788252703,4.703721280928672,22.124993888661265,0,False
blend159_h3,w16e_aonly,h3,-7.493953274040344,-30.000000000085514,-22.50604672604517,9.870864951519918,97.43397489114432,-3,False
blend159_h3,w16h_h3av6,h3,-1.7925021280618125,0.0,1.7925021280618125,2.9273767102341335,8.569534403621219,0,False
blend159_h3,w16i_schemeavg,h3,-8.72974781207514,-20.000000000020002,-11.270252187944862,8.953426713192513,80.16384990850929,-2,False
blend159_h3,w16l_maskw_h3,h3,1.1962953914146368,0.0,-1.1962953914146368,6.8340623812989465,46.70440863148542,0,False
blend159_h3,w16n_finegrid,h3,-8.759965877125353,-20.000000000020002,-11.240034122894649,8.926547462983915,79.68324960890459,-2,False
blend159_h3,w20_ad187_h3,h3,-53.878444639776646,-99.99999999998899,-46.12155536021234,25.884416329303374,670.0030087087071,-10,False
blend159_h3,w23_ad187std_h3,h3,-62.33855394255361,-90.0000000000345,-27.661446057480894,25.84392173645744,667.9082907201373,-9,False
blend159_h3,w27_ad188std_h3,h3,-64.5355265206371,-99.99999999998899,-35.46447347935188,26.71052223417988,713.4519980226178,-10,False
blend159_h3,w29_ad194std_h3,h3,-67.0698707284645,-99.99999999998899,-32.93012927152449,27.473421671132975,754.7888983198791,-10,False
blend159_h3,w34_ad195std_h3,h3,-73.63875540844501,-99.99999999998899,-26.36124459154398,29.021011921854125,842.2191329683992,-10,False
blend159_h3,w34_ad196std_h3,h3,-72.98075767614432,-99.99999999998899,-27.019242323844665,29.176176540705757,851.249277534429,-10,False
blend159_h3,w36_ad197std_h3,h3,-77.50660684291422,-99.99999999998899,-22.493393157074763,29.449541277177286,867.2754814361688,-10,False
blend159_h3,w36_ad199std_h3,h3,-88.49110437647579,-110.0000000000545,-21.50889562357871,30.594444338165204,936.0200243610889,-11,False
blend159_h3,w38_ad202std_h3,h3,-86.08486345196287,-99.99999999998899,-13.915136548026112,30.933675401030804,956.8922738163383,-10,False
blend159_h3,w40_ad211std_h3,h3,-86.24810189605815,-110.0000000000545,-23.751898103996353,31.164092287246362,971.2006480880082,-11,False
blend159_logit,blend159av_logit,logit,-0.10229994817922972,0.0,0.10229994817922972,5.192558107047942,26.962659695069306,0,False
blend159_logit,stack_pub74_logit,logit,323.310659202436,250.0000000000835,-73.3106592023525,58.31013696764055,3400.0720731850015,25,True
blend159_logit,stack_pub88_mine_logit,logit,304.71570519485795,250.0000000000835,-54.71570519477444,56.33388208055939,3173.506270266371,25,True
blend159_logit,w14a_repro159av_logit,logit,-0.20754304963510606,0.0,0.20754304963510606,5.20616513006241,27.10415536147775,0,False
blend159_logit,w20_ad187_logit,logit,-60.13759795864271,-99.99999999998899,-39.86240204134628,27.922981471520654,779.6928942588856,-10,False
blend159_logit,w23_ad187std_logit,logit,-65.14324707596053,-79.99999999996899,-14.856752924008461,28.251644520250732,798.1554180986132,-8,False
blend159_logit,w27_ad188raw_logit,logit,-74.07071389509134,-99.99999999998899,-25.929286104897642,29.279703589998473,857.3010423181695,-10,False
blend159_logit,w27_ad190std_logit,logit,-74.84252539424752,-99.99999999998899,-25.15747460574147,30.178463177810908,910.7396397744888,-10,False
blend159_logit,w29_ad194std_logit,logit,-75.27396629181116,-99.99999999998899,-24.726033708177823,30.463445826156676,928.0215316031827,-10,False
blend159_rescale,blend159av_rescale,rescale,-2.778077893950126,0.0,2.778077893950126,4.5307063372687555,20.527299914567266,0,False
blend159_rescale,blend160orig_rescale,rescale,2.543493355045001,0.0,-2.543493355045001,6.263486925296904,39.23126846336527,0,False
blend159_rescale,blend160origm_rescale,rescale,-1.1166729464440195,0.0,1.1166729464440195,5.199808479890093,27.03800822753692,0,False
blend159_rescale,w14a_repro159av_rescale,rescale,-1.2819056306456744,0.0,1.2819056306456744,4.8544075513021285,23.565272674139123,0,False
blend159_rescale,w20_ad187_rescale,rescale,-51.954916372554116,-99.99999999998899,-48.04508362743487,27.53978513992269,758.4397655531066,-10,False
blend159_rescale,w23_ad187std_h3_rescale,rescale,-67.81170265945936,-90.0000000000345,-22.188297340575147,28.445806127932546,809.1638862679247,-9,False
blend159_rescale,w27_ad188raw_rescale,rescale,-73.07921122745587,-99.99999999998899,-26.920788772533115,28.443151399031645,809.0128615082358,-10,False
blend159_rescale,w27_ad190std_rescale,rescale,-73.10926183723421,-99.99999999998899,-26.890738162754772,29.874154941315673,892.4651334577356,-10,False
blend159_rescale,w29_ad194std_rescale,rescale,-71.9887171218847,-99.99999999998899,-28.011282878104282,29.35088017695005,861.4741671616794,-10,False
blend159_rescale,w36_ad199std_rescale,rescale,-96.04509797733752,-110.0000000000545,-13.954902022716979,32.48986560777634,1055.5913672113675,-11,False
blend159_rescale,w38_ad202std_rescale,rescale,-94.14324755629977,-99.99999999998899,-5.856752443689217,33.84842423094021,1145.7158229177003,-10,False
blend159_rescale,w40_ad211std_rescale,rescale,-95.08948148206909,-110.0000000000545,-14.910518517985409,32.79624813531889,1075.5938917534077,-11,False
blend159av,blend160orig,ens4,2.5690987884852134,0.0,-2.5690987884852134,4.141898435687847,17.155322651553433,0,False
blend159av,blend160origm,ens4,0.6322705131678319,0.0,-0.6322705131678319,3.857563150910705,14.880793463264126,0,False
blend159av,w14a_repro159av,ens4,1.2602836029218523,0.0,-1.2602836029218523,3.596515258065676,12.934922001499217,0,False
blend159av,w16q_ens4avg,ens4,-6.6404083788329515,-20.000000000020002,-13.35959162118705,7.629693746650272,58.21222666767426,-2,False
blend159av,w16t_cellens4,ens4,-6.4959502972250505,-20.000000000020002,-13.504049702794951,10.173341769487635,103.4968827588018,-2,False
blend159av,w20_ad187,ens4,-53.01277192326648,-99.99999999998899,-46.98722807672251,25.959183354376986,673.8792004261632,-10,False
blend159av,w21_ad187corr,ens4,-62.00465827821411,-109.99999999994348,-47.995341721729375,27.678826996042346,766.1174638768425,-11,False
blend159av,w21_ad187corr_ens4,ens4,-59.056354488329355,-120.000000000009,-60.94364551167964,27.04725535099094,731.5540220217081,-12,False
blend159av,w23_ad187std,ens4,-61.02053379142269,-89.99999999992347,-28.97946620850078,26.039285631988008,678.0443962242571,-9,False
blend159av,w23_ad187stdcorr,ens4,-70.20416150760323,-99.99999999998899,-29.795838492385755,27.764695340504417,770.8783073510276,-10,False
blend159av,w27_ad188std,ens4,-64.46893514067132,-99.99999999998899,-35.53106485931767,26.858087047295935,721.3568398401258,-10,False
blend159av,w27_ad188stdcorr,ens4,-71.93088923451718,-109.99999999994348,-38.0691107654263,28.623254583174372,819.2907029332127,-11,False
blend159av,w27_ad190std,ens4,-66.05710124130138,-109.99999999994348,-43.9428987586421,27.652225526970803,764.6455765944556,-11,False
blend159av,w27_ad190stdcorr,ens4,-73.25770332466952,-120.000000000009,-46.742296675339475,29.092385490500998,846.3668935279129,-12,False
blend159av,w29_ad194std,ens4,-66.74323145938743,-99.99999999998899,-33.256768540601556,27.80363102422932,773.041898131487,-10,False
blend159av,w29_ad194stdcorr,ens4,-73.41081326195376,-120.000000000009,-46.58918673805523,29.330233731206825,860.2626107272226,-12,False
blend159av,w34_ad195std,ens4,-73.28814973783793,-99.99999999998899,-26.71185026215106,29.20102204595341,852.699688528257,-10,False
blend159av,w34_ad195stdcorr,ens4,-79.91817081542952,-109.99999999994348,-30.081829184513964,30.64717528294943,939.2493528238265,-11,False
blend159av,w34_ad196std,ens4,-73.67383982526121,-99.99999999998899,-26.326160174727775,29.513304123588103,871.0351202914026,-10,False
blend159av,w36_ad197std,ens4,-76.18214220106445,-99.99999999998899,-23.817857798924535,29.715741905205185,883.0253169767675,-10,False
blend159av,w36_ad197stdcorr,ens4,-83.75322131415342,-109.99999999994348,-26.246778685790062,31.084857687940524,966.268377479515,-11,False
blend159av,w36_ad199std,ens4,-87.44824368434045,-109.99999999994348,-22.55175631560303,30.903123952786785,955.0030700413045,-11,False
blend159av,w36_ad199stdcorr,ens4,-95.12924957200131,-120.000000000009,-24.870750428007682,32.107513065847215,1030.8923952735495,-12,False
blend159av,w36_ad199stdcorr_ens4,ens4,-91.71075674929696,-129.99999999996348,-38.289243250666516,31.774631350014197,1009.6271974293049,-13,False
blend159av,w38_ad202std,ens4,-85.69589022633384,-99.99999999998899,-14.304109773655142,31.206061036059925,973.8182453862973,-10,False
