a,b,dcv,dlb,sd,p_reverse
blend150fx_logit,blend160orig,-9.2470562212843e-05,-3.0000000000085514e-05,2.556983030778719e-05,0.0
blend150fx_logit,blend160orig_h3,-9.649407093459406e-05,-2.0000000000020002e-05,3.1976168213990866e-05,0.002
blend150fx_logit,blend160origm,-9.440739048816038e-05,-3.0000000000085514e-05,2.555103203487758e-05,0.0
blend150fx_logit,blend160origm_h3,-9.881792893950969e-05,-2.0000000000020002e-05,3.2017783399242885e-05,0.002
blend150fx_logit,blendtop3,-9.962335327873273e-05,-2.0000000000020002e-05,3.177630792011038e-05,0.002
blend150fx_logit,stack_pub149_hybrid,-6.847306472046455e-05,3.999999999992898e-05,3.3527674084277335e-05,0.03
blend150fx_logit,stack_pub151_fixed_rankraw,-7.466487057350424e-05,0.0,3.7594238331379784e-05,0.028
blend150fx_logit,stack_pub151_hybrid,-7.445750005352636e-05,3.999999999992898e-05,3.232667949472312e-05,0.016
blend150fx_logit,stack_pub151_rankraw,-7.32287843066004e-05,9.99999999995449e-06,3.649635438062059e-05,0.028
blend150fx_logit,stack_pub86_hybrid,0.0002720366768599325,0.00022999999999995246,6.120738422371793e-05,0.0
blend150fx_logit,stack_pub88_mine_logit,0.00028989053472494586,0.00021999999999999797,5.725866806953097e-05,0.0
blend150fx_logit,w16e_aonly,-0.00010459341053903337,-5.0000000000105516e-05,3.287684655406191e-05,0.0
blend150fx_logit,w16h_h3av6,-9.889195939305484e-05,-2.0000000000020002e-05,3.1691648688559444e-05,0.002
blend150fx_logit,w16i_schemeavg,-0.00010582920507706817,-4.0000000000040004e-05,3.258463329297298e-05,0.0
blend150fx_logit,w16l_maskw_h3,-9.590316187357839e-05,-2.0000000000020002e-05,3.298458292545499e-05,0.0
blend150fx_logit,w16n_finegrid,-0.00010585942314211838,-4.0000000000040004e-05,3.258638984344027e-05,0.0
blend150fx_logit,w16q_ens4avg,-0.00010168006938016116,-5.0000000000105516e-05,2.6387395100856268e-05,0.0
blend150fx_logit,w16t_cellens4,-0.00010153561129855326,-5.0000000000105516e-05,2.7308311540190154e-05,0.0
blend150fx_rankraw,blend150fx_rescale,1.1534953460290431e-05,0.0,2.6613855498204782e-05,0.332
blend150fx_rankraw,blend150sx,-8.976262270588009e-06,-2.0000000000020002e-05,1.9811970245174863e-05,0.324
blend150fx_rankraw,blend150sx_hybrid,7.980314426725421e-06,9.99999999995449e-06,2.33964717121097e-05,0.366
blend150fx_rankraw,blend150sx_logit,6.868863547437876e-05,-2.0000000000020002e-05,3.739231288982645e-05,0.042
blend150fx_rankraw,blend150sx_rankraw,2.2149765571688462e-06,0.0,1.1450374752500503e-05,0.402
blend150fx_rankraw,blend153,-1.0256741994285612e-05,-2.0000000000020002e-05,2.0061153516964904e-05,0.302
blend150fx_rankraw,blend156,-1.753284610783723e-05,-4.0000000000040004e-05,2.2285101511958454e-05,0.194
blend150fx_rankraw,blend156_h3,-2.2046613122994607e-05,-2.999999999997449e-05,1.922358602936955e-05,0.108
blend150fx_rankraw,blend156_rankraw,-1.200658362310314e-05,-2.0000000000020002e-05,1.3434280438881197e-05,0.182
blend150fx_rankraw,blend156_rescale,-1.0429824778279695e-06,-2.999999999997449e-05,2.842757800229967e-05,0.486
blend150fx_rankraw,blend156w,-2.2585463891777735e-05,-2.999999999997449e-05,1.6921079603387232e-05,0.074
blend150fx_rankraw,blend156w2,-2.2394077738741025e-05,-2.999999999997449e-05,1.7018659806275377e-05,0.076
blend150fx_rankraw,blend158,-1.9154828024614545e-05,-4.0000000000040004e-05,2.2669283045262032e-05,0.172
blend150fx_rankraw,blend158_h3,-2.424710226178739e-05,-2.999999999997449e-05,1.9607862973217673e-05,0.084
blend150fx_rankraw,blend158_hybrid,-4.261493110169212e-06,-9.99999999995449e-06,2.5887598233662296e-05,0.43
blend150fx_rankraw,blend158_logit,6.268195903658125e-05,-4.0000000000040004e-05,3.944186476005699e-05,0.058
blend150fx_rankraw,blend158_rankraw,-1.234809089067923e-05,-2.0000000000020002e-05,1.417764860758871e-05,0.17
blend150fx_rankraw,blend158_rescale,-3.301177718406656e-06,-2.999999999997449e-05,2.8647913856035606e-05,0.434
blend150fx_rankraw,blend159,-1.9306090879633864e-05,-4.0000000000040004e-05,2.2460032243843058e-05,0.172
blend150fx_rankraw,blend159_h3,-2.2864677798106747e-05,-2.999999999997449e-05,1.9667062693498674e-05,0.106
blend150fx_rankraw,blend159av,-2.0804881534441932e-05,-4.0000000000040004e-05,2.254465990804897e-05,0.16
blend150fx_rankraw,blend159av_h3,-2.5100286874413236e-05,-2.999999999997449e-05,1.9625628573777337e-05,0.078
blend150fx_rankraw,blend159av_w,-2.410659713947272e-05,-2.999999999997449e-05,1.870065902529456e-05,0.09
blend150fx_rankraw,blend159av_wh3,-2.5185090283930123e-05,-2.999999999997449e-05,1.844107664965103e-05,0.072
blend150fx_rankraw,blend160orig,-1.823578274595672e-05,-4.0000000000040004e-05,2.291168429030341e-05,0.184
blend150fx_rankraw,blend160orig_h3,-2.2259291467707776e-05,-2.999999999997449e-05,2.0156156958566337e-05,0.116
blend150fx_rankraw,blend160origm,-2.01726110212741e-05,-4.0000000000040004e-05,2.253582289242565e-05,0.172
blend150fx_rankraw,blend160origm_h3,-2.458314947262341e-05,-2.999999999997449e-05,1.9682503906125233e-05,0.088
blend150fx_rankraw,blendtop3,-2.538857381184645e-05,-2.999999999997449e-05,1.9479138497998488e-05,0.076
blend150fx_rankraw,stack_pub149_hybrid,5.761714746421731e-06,2.999999999997449e-05,2.3534823274166557e-05,0.412
blend150fx_rankraw,stack_pub151_fixed_rankraw,-4.30091106617958e-07,-9.99999999995449e-06,6.898818880218683e-06,0.446
blend150fx_rankraw,stack_pub151_hybrid,-2.2272058664007943e-07,2.999999999997449e-05,2.2120472511287786e-05,0.494
blend150fx_rankraw,stack_pub151_rankraw,1.0059951602858774e-06,0.0,7.638021102198275e-06,0.456
blend150fx_rankraw,stack_pub86_hybrid,0.00034627145632681877,0.00021999999999999797,6.25036669413407e-05,0.0
blend150fx_rankraw,stack_pub88_mine_logit,0.00036412531419183214,0.00021000000000004349,6.531807920846048e-05,0.0
blend150fx_rankraw,w16e_aonly,-3.035863107214709e-05,-6.0000000000060005e-05,2.196389633739143e-05,0.074
blend150fx_rankraw,w16h_h3av6,-2.465717992616856e-05,-2.999999999997449e-05,1.9409133794109506e-05,0.082
blend150fx_rankraw,w16i_schemeavg,-3.1594425610181887e-05,-4.999999999999449e-05,2.1632076485974996e-05,0.064
blend150fx_rankraw,w16l_maskw_h3,-2.166838240669211e-05,-2.999999999997449e-05,1.9632846940155958e-05,0.116
blend150fx_rankraw,w16n_finegrid,-3.16246436752321e-05,-4.999999999999449e-05,2.159203110232116e-05,0.064
blend150fx_rankraw,w16q_ens4avg,-2.7445289913274884e-05,-6.0000000000060005e-05,2.4296798993022964e-05,0.108
blend150fx_rankraw,w16t_cellens4,-2.7300831831666983e-05,-6.0000000000060005e-05,2.5269627825571836e-05,0.128
blend150fx_rescale,blend150sx,-2.051121573087844e-05,-2.0000000000020002e-05,1.548875763874001e-05,0.104
blend150fx_rescale,blend150sx_hybrid,-3.55463903356501e-06,9.99999999995449e-06,2.3206823955480292e-05,0.47
blend150fx_rescale,blend150sx_logit,5.7153682014088325e-05,-2.0000000000020002e-05,2.9316433101209144e-05,0.024
blend150fx_rescale,blend150sx_rankraw,-9.319976903121585e-06,0.0,2.7201454603115266e-05,0.388
blend150fx_rescale,blend153,-2.1791695454576043e-05,-2.0000000000020002e-05,1.6354291893100364e-05,0.088
blend150fx_rescale,blend156,-2.906779956812766e-05,-4.0000000000040004e-05,1.888357268257938e-05,0.06
blend150fx_rescale,blend156_h3,-3.358156658328504e-05,-2.999999999997449e-05,1.8930580901581584e-05,0.044
blend150fx_rescale,blend156_rankraw,-2.354153708339357e-05,-2.0000000000020002e-05,2.8588822587515307e-05,0.216
blend150fx_rescale,blend156_rescale,-1.25779359381184e-05,-2.999999999997449e-05,1.2970797802979861e-05,0.164
blend150fx_rescale,blend156w,-3.4120417352068166e-05,-2.999999999997449e-05,2.076233918230487e-05,0.058
blend150fx_rescale,blend156w2,-3.3929031199031456e-05,-2.999999999997449e-05,2.0660326760914112e-05,0.056
blend150fx_rescale,blend158,-3.0689781484904977e-05,-4.0000000000040004e-05,1.9289306870349855e-05,0.058
blend150fx_rescale,blend158_h3,-3.578205572207782e-05,-2.999999999997449e-05,1.9376879832789926e-05,0.036
blend150fx_rescale,blend158_hybrid,-1.5796446570459644e-05,-9.99999999995449e-06,2.57462661260142e-05,0.268
blend150fx_rescale,blend158_logit,5.1147005576290816e-05,-4.0000000000040004e-05,3.185334494785957e-05,0.048
blend150fx_rescale,blend158_rankraw,-2.3883044350969662e-05,-2.0000000000020002e-05,2.8575801392876447e-05,0.202
blend150fx_rescale,blend158_rescale,-1.4836131178697087e-05,-2.999999999997449e-05,1.3766882256336628e-05,0.12
blend150fx_rescale,blend159,-3.0841044339924295e-05,-4.0000000000040004e-05,1.9378933274432263e-05,0.052
blend150fx_rescale,blend159_h3,-3.439963125839718e-05,-2.999999999997449e-05,1.963940615101618e-05,0.038
