stem,cv,lb,n_sent,gap,fam,std,in_w25f,pred,res6
w16q_ens4avg,0.9700515171213084,0.97108,1,0.0010284828786916167,ens4,False,True,0.9710723122896202,7.6877103798445034
w16t_cellens4,0.9700513726632269,0.97108,1,0.0010286273367731136,ens4,False,True,0.9710720318885191,7.968111480960438
blendtop3,0.970049460405207,0.97105,1,0.0010005395947929596,ens4,False,True,0.9710683200902673,-18.320090267365252
blend159av_wh3,0.9700492569216793,0.97105,1,0.001000743078320654,wh3,False,True,0.9710500000000003,-3.3306690738754696e-10
blend159av_h3,0.9700491721182697,0.97105,1,0.0010008278817302818,h3,False,True,0.9710538620186754,-3.8620186754156904
w16h_h3av6,0.9700487290113216,0.97105,1,0.0010012709886784155,ens4,False,True,0.971066900414409,-16.90041440904899
blend160origm_h3,0.9700486549808679,0.97105,1,0.0010013450191320716,h3,False,True,0.9710528582264654,-2.858226465396463
blend158_h3,0.9700483189336571,0.97105,1,0.0010016810663429077,h3,False,True,0.9710522059403006,-2.205940300648024
blend159av_w,0.9700481784285347,0.97105,1,0.0010018215714652223,w,False,True,0.9710520922326946,-2.09223269465042
w14a_repro159av_h3,0.9700472004643722,0.97105,1,0.001002799535627763,h3,False,True,0.9710500349297503,-0.03492975031438306
blend159_h3,0.9700469365091934,0.97105,1,0.0010030634908065883,h3,False,True,0.9710495225781945,0.4774218054226509
blend156w,0.970046657295287,0.97105,1,0.0010033427047129173,w,False,True,0.9710491396291908,0.8603708091525775
blend156w2,0.9700464659091339,0.97105,1,0.001003534090866065,w,False,True,0.9710487681381151,1.2318618848317087
blend160orig_h3,0.9700463311228631,0.97105,1,0.0010036688771368762,h3,False,True,0.9710483474899487,1.6525100512421176
blend156_h3,0.9700461184445183,0.97105,1,0.0010038815554817004,h3,False,True,0.971047934669555,2.065330445000235
w16l_maskw_h3,0.970045740213802,0.97105,1,0.001004259786198003,h3,False,True,0.9710472005028803,2.7994971196765306
blend159av,0.9700448767129297,0.97106,1,0.0010151232870703186,ens4,False,True,0.9710594228908282,0.5771091717843291
blend160origm,0.9700442444424164,0.97106,1,0.0010157555575835975,ens4,False,True,0.9710581956189007,1.8043810993129128
w14a_repro159av,0.9700436164293267,0.97106,1,0.0010163835706733515,ens4,False,True,0.9710569766108671,3.0233891329389806
blend159,0.9700433779222748,0.97106,1,0.0010166220777252377,ens4,False,True,0.9710565136555289,3.486344471115288
blend158,0.9700432266594199,0.97106,1,0.001016773340580146,ens4,False,True,0.9710562200459876,3.7799540124616726
blend160orig,0.9700423076141413,0.97106,1,0.0010176923858586928,ens4,False,True,0.971054436128429,5.563871571023782
blend156,0.9700416046775032,0.97106,1,0.0010183953224968123,ens4,False,True,0.9710530716896569,6.928310343101707
blend158_rankraw,0.9700364199222861,0.97104,1,0.0010035800777139503,rankraw,False,True,0.971043592954724,-3.5929547239632598
blend156_rankraw,0.9700360784150184,0.97104,1,0.0010039215849816374,rankraw,False,True,0.9710429300702879,-2.9300702878432006
blend153,0.9700343285733894,0.97104,1,0.001005671426610566,ens4,False,True,0.9710389483703932,1.0516296068407982
blend159av_rankraw,0.9700338606526145,0.97102,1,0.0009861393473854507,rankraw,False,True,0.9710386252711823,-18.62527118234869
blend150sx,0.9700330480936658,0.97104,1,0.0010069519063342636,ens4,False,True,0.9710364628886483,3.537111351703537
blend150fx,0.9700319433658622,0.97104,1,0.0010080566341378328,ens4,False,True,0.9710343185510707,5.681448929317767
w23_ad187std_logit,0.9700298054694743,0.97114,1,0.0011101945305257432,logit,True,True,0.9711400000000012,-1.2212453270876722e-09
blend159av_hybrid,0.9700291725494377,0.97102,1,0.0009908274505623371,hybrid,False,True,0.9710208732836078,-0.8732836077607331
blend159av_rescale,0.9700286702343647,0.97105,1,0.0010213297656352927,rescale,False,False,0.971051236088509,-1.2360885089934825
blend158_hybrid,0.9700283333245054,0.97103,1,0.0010016666754945058,hybrid,False,True,0.9710192443017424,10.755698257591817
blend158_rescale,0.9700273730091135,0.97105,1,0.0010226269908865104,rescale,False,True,0.9710487181027718,1.2818972281447572
w14a_repro159av_rescale,0.9700271740621013,0.97105,1,0.0010228259378987081,rescale,False,False,0.9710483319356519,1.668064348092635
blend160origm_rescale,0.9700270088294171,0.97105,1,0.0010229911705829098,rescale,False,False,0.9710480112099016,1.9887900983839302
blend159_rescale,0.9700258921564706,0.97105,1,0.0010241078435293538,rescale,False,False,0.9710458436861431,4.156313856862326
blend156_rescale,0.970025114813873,0.97105,1,0.001024885186126978,rescale,False,True,0.9710443348213011,5.665178698821549
