dir,member,auc
data/ext_members2,bei_structural,0.9637240796119662
data/ext_members2,bolt_cat_cpu5,0.9636179432127291
data/ext_members2,bolt_ebm_exact,0.9635359874969037
data/ext_members2,bei_xgb_identity_digit_raw12,0.9634036395167119
data/ext_members2,bei_identity_digit_raw12,0.9633938167071467
data/ext_members7,lat_rawdrop_r400,0.9631860987580482
oof,cat_raw,0.9630748798933935
data/ext_members2,bolt_histgb_5fold,0.9630734764964255
data/ext_members2,bolt_xgb_raw_bag,0.9629127592639459
data/ext_members12es,dkv_cb,0.9627085344216801
data/ext_members,golem_d,0.9626012749354521
data/ext_members2,bei_raw12,0.9625110899702517
oof,linlat,0.9613345063631997
oof,xgb_cat_lattice,0.9610744188683251
data/ext_members8,rff_lat,0.9607473167071436
data/ext_members2,bolt_lgb_raw_d6,0.9602790349442599
oof,et_lat_frac,0.9600203358920902
data/ext_members2,bolt_lgb_raw_d4,0.9593968613983943
data/ext_members2,bolt_cat_unique,0.959294867406197
oof,cat_native,0.958941245297714
data/ext_members3,ad_logregte,0.958909552651975
data/ext_members13,mkt_realmlp,0.9581337349072739
data/ext_members7,lat_encdrop_r400,0.952228882321988
data/ext_members7pin,lat_encdrop_r400,0.952228882321988
data/ext_members7,lat_tedrop_r400,0.9496361970778027
data/ext_members2,bolt_extratrees_support,0.9432187123073119
data/ext_members,golem_g,0.9421627233653163
data/ext_members3,ad_gnn_note,0.9420903597006162
data/ext_members13es,mkt_mlp,0.9414220911448385
data/ext_members,golem_b,0.9408108374811007
data/ext_members2,mkt_nn,0.9404005560439397
data/ext_members2,bolt_tabm_missing,0.9402158529242
data/ext_members2,bolt_fttransformer,0.9401086552644882
data/ext_members2,bolt_tabm_rank1,0.9395176977988373
data/ext_members2,bolt_neural_5fold,0.9392280954698594
data/ext_members2,bolt_gandalf_gflu,0.9387141174821514
data/ext_members2,bolt_dcnv2_cross,0.9384981380967445
data/ext_members2,bolt_tabr_retrieval,0.9379939881756827
data/ext_members8,poly2_raw,0.9350568552000954
data/ext_members,golem_c,0.9343839705672055
data/ext_members8,rff_raw,0.9337081914039659
data/ext_members9,qda_lat,0.9311799826253343
oof,w15d_origrep_r,0.9214748966182984
data/ext_members9,gnb_raw,0.8963409462560683
data/ext_members8,qda_raw,0.8944594378042836
oof,orig_binm,0.8863785723170711
oof,orig_bin,0.8502612981660471
data/ext_members9,gmm_raw,0.8215688790326772
