stem,lb,lo,n_sent,cv,fam,std,pack,build,in_fit,raw_pred,res6
w27_ad188raw_logit,0.97116,0.97116,1,0.9700387329362935,logit,True,188.0,27.0,False,0.9711589193251324,1.08067486759289
w27_ad188std_logit,0.97115,0.97115,1,0.9700372515102429,logit,True,188.0,27.0,False,0.9711561693099998,-6.169309999859429
blend160orig_rankraw,0.97104,0.97104,1,0.9700342765404693,rankraw,False,,,False,0.9710389586881337,1.0413118662899734
blend159av_rankraw,0.97102,0.97102,1,0.9700338606526145,rankraw,False,,,True,0.9710381866631693,-18.186663169328376
blend160origm_rankraw,0.97105,0.97105,1,0.9700331270767358,rankraw,False,,,False,0.9710368249045002,13.175095499806666
blend159_rankraw,0.97105,0.97105,1,0.9700325394457388,rankraw,False,,,False,0.9710357340676449,14.265932355095323
w14a_repro159av_rankraw,0.97105,0.97105,1,0.9700313094207962,rankraw,False,,14.0,False,0.9710334507358483,16.549264151621834
w23_ad187std_logit,0.97114,0.97114,1,0.9700298054694743,logit,True,187.0,23.0,True,0.9711423470035925,-2.347003592473307
blend159av_hybrid,0.97102,0.97102,1,0.9700291725494377,hybrid,False,,,True,0.9710211328075503,-1.1328075503191926
blend159av_rescale,0.97105,0.97105,1,0.9700286702343647,rescale,False,,,True,0.9710508212704306,-0.8212704306620466
blend160origm_hybrid,0.97103,0.97103,1,0.9700273084068993,hybrid,False,,,False,0.9710176723444461,12.3276555538121
w14a_repro159av_rescale,0.97105,0.97105,1,0.9700271740621013,rescale,False,,14.0,True,0.9710480438814657,1.9561185342631404
blend160origm_rescale,0.97105,0.97105,1,0.9700270088294171,rescale,False,,,True,0.9710477371551315,2.2628448684836044
blend153_rankraw,0.97101,0.97101,1,0.9700266911160214,rankraw,False,,,False,0.9710248776396669,-14.877639666899256
blend159_rescale,0.97105,0.97105,1,0.9700258921564706,rescale,False,,,True,0.9710456642420087,4.335757991302813
w14a_repro159av_hybrid,0.97102,0.97102,1,0.9700258630141787,hybrid,False,,14.0,False,0.9710149892190532,5.010780946834714
blend160orig_hybrid,0.97102,0.97102,1,0.9700254919891138,hybrid,False,,,False,0.9710143004742167,5.699525783331438
w20_ad187_logit,0.97116,0.97116,1,0.970024799820357,logit,False,187.0,20.0,True,0.9711561479765333,3.85202346675495
blend159_hybrid,0.97103,0.97103,1,0.9700244514017536,hybrid,False,,,False,0.9710123688010251,17.631198974799034
blend160orig_rescale,0.97105,0.97105,1,0.9700233486631156,rescale,False,,,True,0.9710409426798267,9.05732017331129
blend156_hybrid,0.97102,0.97102,1,0.970023048486854,hybrid,False,,,False,0.9710097645284714,10.235471528563522
blend153_rescale,0.97102,0.97102,1,0.9700197991441539,rescale,False,,,False,0.9710343536024618,-14.353602461825155
blend150sx_rescale,0.97103,0.97103,1,0.9700170339298693,rescale,False,,,False,0.9710292204531396,0.7795468603966071
blend153_hybrid,0.97101,0.97101,1,0.9700168430359333,hybrid,False,,,False,0.970998245165808,11.754834192023722
w14a_repro159av_logit,0.97106,0.97106,1,0.969964869765448,logit,False,,14.0,False,0.9710448980374445,15.101962555497117
blend159av_logit,0.97106,0.97106,1,0.9699647645223465,logit,False,,,False,0.9710447026715524,15.297328447627656
blend159_logit,0.97106,0.97106,1,0.9699646622223983,logit,False,,,False,0.9710445127691234,15.487230876631841
blend160origm_logit,0.97106,0.97106,1,0.9699635759958649,logit,False,,,False,0.9710424963745804,17.503625419634794
blend156_logit,0.97105,0.97105,1,0.9699618031215246,logit,False,,,False,0.9710392053353402,10.794664659807829
blend160orig_logit,0.97106,0.97106,1,0.969961779850316,logit,False,,,False,0.971039162136305,20.83786369500018
blend153_logit,0.97104,0.97104,1,0.9699540296194336,logit,False,,,False,0.9710247751527641,15.22484723592843
stack_pub88_mine_logit,0.97081,0.97081,1,0.9696599465172034,logit,False,,,False,0.9704788599644703,331.14003552969785
stack_pub74_logit,0.97081,0.97081,1,0.9696413515631959,logit,False,,,False,0.9704443415996223,365.65840037761086
