a,b,dcv,dlb,sd,p_reverse,ga,gb,same,r,sd_pred,z
blend150fx_hybrid,blend150sx_hybrid,-1.855181144039264e-06,-2.000000000002e-05,8.466921530081693e-06,0.438,hybrid,hybrid,True,-1.8144818855980734e-05,9.399756744896519e-06,-1.9303498322796744
blend150fx_hybrid,blend150sx_logit,5.885313990361407e-05,-4.999999999999449e-05,3.374542856035693e-05,0.046,hybrid,logit,False,-0.00010885313990360856,3.399147857020668e-05,-3.202365548141165
blend150fx_hybrid,blend150sx_rankraw,-7.620519013595839e-06,-2.999999999997449e-05,2.3988022486458335e-05,0.394,hybrid,rankraw,False,-2.2379480986378653e-05,2.43329383650536e-05,-0.9197196265667422
blend150fx_hybrid,blend153,-2.0092237565050297e-05,-4.999999999999449e-05,1.743264590000812e-05,0.126,hybrid,ens4,False,-2.9907762434944196e-05,1.7904295846017975e-05,-1.6704238296864307
blend150fx_hybrid,blend156,-2.7368341678601915e-05,-7.00000000000145e-05,1.9695493711153605e-05,0.062,hybrid,ens4,False,-4.263165832141258e-05,2.011415270879581e-05,-2.119485664577359
blend150fx_hybrid,blend156_h3,-3.188210869375929e-05,-5.999999999994898e-05,1.7509126842459568e-05,0.024,hybrid,h3,False,-2.811789130618969e-05,1.7978770521145345e-05,-1.5639496189753042
blend150fx_hybrid,blend156_rankraw,-2.1842079193867825e-05,-4.999999999999449e-05,2.5291690391767693e-05,0.184,hybrid,rankraw,False,-2.815792080612667e-05,2.5619060668566694e-05,-1.0991004381622402
blend150fx_hybrid,blend156_rescale,-1.0878478048592656e-05,-5.999999999994898e-05,2.5337915960858757e-05,0.326,hybrid,rescale,False,-4.912152195135633e-05,2.5664696606549e-05,-1.9139724386541832
blend150fx_hybrid,blend156w,-3.242095946254242e-05,-5.999999999994898e-05,1.956041183559937e-05,0.038,hybrid,w,False,-2.7579040537406563e-05,1.998190125701062e-05,-1.3802010220489151
blend150fx_hybrid,blend156w2,-3.222957330950571e-05,-5.999999999994898e-05,1.949121573399501e-05,0.038,hybrid,w2,False,-2.7770426690443273e-05,1.991416976566689e-05,-1.3945058728142912
