a,b,dcv,dlb,sd,p_reverse,ga,gb,same,r,sd_pred,z
blend150fx_logit,w16n_finegrid,-0.0001058594231421,-4.000000000004e-05,3.258638984344027e-05,0.0,logit,h3+corr,False,6.585942314206e-05,3.2841124671596336e-05,2.005394876108508
blend150fx_logit,w16q_ens4avg,-0.0001016800693801,-5.000000000010552e-05,2.6387395100856268e-05,0.0,logit,ens4+corr,False,5.168006937999448e-05,2.6701334926841392e-05,1.9354863538318203
blend150fx_logit,w16t_cellens4,-0.0001015356112985,-5.000000000010552e-05,2.7308311540190157e-05,0.0,logit,ens4+corr,False,5.153561129839448e-05,2.76117827356864e-05,1.8664354921128694
blend150fx_rankraw,blend150fx_rescale,1.1534953460290431e-05,0.0,2.6613855498204782e-05,0.332,rankraw,rescale,False,-1.1534953460290431e-05,2.6925154988337425e-05,-0.4284080617284013
blend150fx_rankraw,blend150sx,-8.976262270588009e-06,-2.000000000002e-05,1.9811970245174863e-05,0.324,rankraw,ens4,False,-1.102373772943199e-05,2.0228218697215055e-05,-0.544968288826623
blend150fx_rankraw,blend150sx_hybrid,7.980314426725421e-06,9.99999999995449e-06,2.33964717121097e-05,0.366,rankraw,hybrid,False,2.0196855732290686e-06,2.3749980110354115e-05,0.0850394637740585
blend150fx_rankraw,blend150sx_logit,6.868863547437876e-05,-2.000000000002e-05,3.739231288982645e-05,0.042,rankraw,logit,False,-8.868863547439876e-05,3.761451488345089e-05,-2.357830102267749
blend150fx_rankraw,blend150sx_rankraw,2.2149765571688462e-06,0.0,1.1450374752500505e-05,0.402,rankraw,rankraw,True,-2.2149765571688462e-06,1.2156387154058876e-05,-0.18220681269017425
blend150fx_rankraw,blend153,-1.0256741994285612e-05,-2.000000000002e-05,2.0061153516964904e-05,0.302,rankraw,ens4,False,-9.743258005734386e-06,2.0472336141679094e-05,-0.475923115872367
blend150fx_rankraw,blend156,-1.753284610783723e-05,-4.000000000004e-05,2.228510151195845e-05,0.194,rankraw,ens4,False,-2.2467153892202767e-05,2.265595762851263e-05,-0.9916664861664354
